year,eff_mom,eff_dad,nbabies,naliveadults,possible_mom,possible_dad,eff_mig,parameterset,replicate,project,group
1,108,79,162,257,109,148,0,1,1,_proj_,_group_
2,6,5,9,16,6,10,0,1,1,_proj_,_group_
3,12,5,18,18,12,6,0,1,1,_proj_,_group_
4,16,7,26,27,18,9,0,1,1,_proj_,_group_
5,15,10,20,37,20,17,0,1,1,_proj_,_group_
6,16,10,23,38,17,21,0,1,1,_proj_,_group_
7,16,11,23,46,20,26,0,1,1,_proj_,_group_
8,24,19,36,55,25,30,0,1,1,_proj_,_group_
9,32,20,49,71,35,36,0,1,1,_proj_,_group_
10,49,28,74,87,49,38,0,1,1,_proj_,_group_
11,62,34,89,121,65,56,0,1,1,_proj_,_group_
12,77,47,119,164,83,81,0,1,1,_proj_,_group_
13,102,69,152,216,108,108,0,1,1,_proj_,_group_
14,142,87,206,300,148,152,0,1,1,_proj_,_group_
15,171,109,233,387,198,189,0,1,1,_proj_,_group_
16,188,140,250,478,229,249,0,1,1,_proj_,_group_
17,186,137,249,528,244,284,0,1,1,_proj_,_group_
18,190,149,245,581,278,303,0,1,1,_proj_,_group_
19,185,129,240,597,293,304,0,1,1,_proj_,_group_
20,192,151,240,608,293,315,0,1,1,_proj_,_group_
21,187,141,239,610,299,311,0,1,1,_proj_,_group_
22,187,144,241,612,289,323,0,1,1,_proj_,_group_
23,178,138,235,633,319,314,0,1,1,_proj_,_group_
24,186,144,234,632,331,301,0,1,1,_proj_,_group_
25,184,134,235,632,335,297,0,1,1,_proj_,_group_
