YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset,LRSmigs,LRSnative,project,group
0,933,0.767416934619507,1.14624291799425,0.789587852494577,0.745762711864407,0.0590320718938082,0.0881725321534036,1,1,NaN,0.767416934619507,_proj_,_group_
1,13,1.07692307692308,1.03774904332554,0.5,1.33333333333333,0.0828402366863905,0.0798268494865801,1,1,NaN,1.07692307692308,_proj_,_group_
2,92,1.15217391304348,1.29185770155626,1.02439024390244,1.25490196078431,0.088628762541806,0.0993736693504819,1,1,NaN,1.15217391304348,_proj_,_group_
3,127,1.41732283464567,1.5298145176598,1.73333333333333,1.13432835820896,0.109024833434282,0.117678039819985,1,1,NaN,1.41732283464567,_proj_,_group_
4,176,1.43181818181818,1.63738784685821,1.28235294117647,1.57142857142857,0.11013986013986,0.125952911296785,1,1,NaN,1.43181818181818,_proj_,_group_
5,179,1.18435754189944,1.39202423360774,1.33707865168539,1.03333333333333,0.091104426299957,0.107078787200596,1,1,NaN,1.18435754189944,_proj_,_group_
6,193,1.27461139896373,1.53508549547283,1.55555555555556,1.02912621359223,0.0980470306895177,0.118083499651756,1,1,NaN,1.27461139896373,_proj_,_group_
7,181,1.37016574585635,1.59199193016454,1.40963855421687,1.33673469387755,0.105397365065873,0.122460917704965,1,1,NaN,1.37016574585635,_proj_,_group_
8,179,1.31843575418994,1.56300122210045,1.18181818181818,1.45054945054945,0.101418134937688,0.120230863238496,1,1,NaN,1.31843575418994,_proj_,_group_
9,187,1.43850267379679,1.68491533361306,1.37662337662338,1.48181818181818,0.110654051830522,0.12960887181639,1,1,NaN,1.43850267379679,_proj_,_group_
10,182,1.30769230769231,1.5989797001832,1.08510638297872,1.54545454545455,0.100591715976331,0.122998438475631,1,1,NaN,1.30769230769231,_proj_,_group_
11,169,1.21301775147929,1.42329965586917,1.40217391304348,0.987012987012987,0.0933090578060992,0.109484588913013,1,1,NaN,1.21301775147929,_proj_,_group_
12,190,1.30526315789474,1.50536032853975,1.43820224719101,1.18811881188119,0.100404858299595,0.115796948349211,1,1,NaN,1.30526315789474,_proj_,_group_
13,183,1.31147540983607,1.48480564762032,1.35227272727273,1.27368421052632,0.100882723833544,0.114215819047717,1,1,NaN,1.31147540983607,_proj_,_group_
14,168,1.2797619047619,1.43908485240874,1.26086956521739,1.29292929292929,0.0984432234432235,0.110698834800672,1,1,NaN,1.2797619047619,_proj_,_group_
15,183,1.48633879781421,1.57542223015504,1.58620689655172,1.39583333333333,0.114333753678016,0.121186325396542,1,1,NaN,1.48633879781421,_proj_,_group_
16,176,1.34090909090909,1.42537304299201,1.38947368421053,1.28395061728395,0.103146853146853,0.109644080230155,1,1,NaN,1.34090909090909,_proj_,_group_
17,174,1.52873563218391,1.59724531985121,1.37254901960784,1.75,0.117595048629531,0.122865024603939,1,1,NaN,1.52873563218391,_proj_,_group_
18,184,1.27173913043478,1.45311619826962,1.4,1.17307692307692,0.0978260869565217,0.111778169097663,1,1,NaN,1.27173913043478,_proj_,_group_
19,179,1.43016759776536,1.72209223247376,1.48101265822785,1.39,0.110012892135797,0.132468633267212,1,1,NaN,1.43016759776536,_proj_,_group_
20,184,1.5,1.51855554029537,1.45,1.55952380952381,0.115384615384615,0.116811964638105,1,1,NaN,1.5,_proj_,_group_
21,183,1.6775956284153,1.87226451310005,1.75824175824176,1.59782608695652,0.129045817570408,0.144020347161542,1,1,NaN,1.6775956284153,_proj_,_group_
22,183,1.43169398907104,1.55644031536495,1.67142857142857,1.28318584070796,0.110130306851618,0.119726178104996,1,1,NaN,1.43169398907104,_proj_,_group_
23,197,1.38578680203046,1.58867195700301,1.51086956521739,1.27619047619048,0.106598984771574,0.122205535154078,1,1,NaN,1.38578680203046,_proj_,_group_
24,189,1.33333333333333,1.51587345791973,1.44565217391304,1.22680412371134,0.102564102564103,0.11660565060921,1,1,NaN,1.33333333333333,_proj_,_group_
25,185,1.18378378378378,1.48863694465658,1.29347826086957,1.0752688172043,0.0910602910602911,0.114510534204352,1,1,NaN,1.18378378378378,_proj_,_group_
26,166,1.37951807228916,1.53955987698528,1.38571428571429,1.375,0.106116774791474,0.118427682845021,1,1,NaN,1.37951807228916,_proj_,_group_
27,171,1.33333333333333,1.56806362415935,1.24418604651163,1.42352941176471,0.102564102564103,0.120620278781489,1,1,NaN,1.33333333333333,_proj_,_group_
28,181,1.16022099447514,1.45745895913291,1.15555555555556,1.16483516483516,0.0892477688057799,0.112112227625608,1,1,NaN,1.16022099447514,_proj_,_group_
29,184,1.19565217391304,1.46163416617598,1.18478260869565,1.20652173913043,0.0919732441471572,0.112433397398152,1,1,NaN,1.19565217391304,_proj_,_group_
30,171,1.32163742690058,1.47789584429722,1.42857142857143,1.2,0.101664417453891,0.113684295715171,1,1,NaN,1.32163742690058,_proj_,_group_
31,182,1.3021978021978,1.4835732601111,1.4047619047619,1.21428571428571,0.100169061707523,0.114121020008546,1,1,NaN,1.3021978021978,_proj_,_group_
32,186,1.37096774193548,1.6691205417038,1.53488372093023,1.23,0.10545905707196,0.128393887823369,1,1,NaN,1.37096774193548,_proj_,_group_
33,178,1.24719101123595,1.42441105979397,1.21428571428571,1.27659574468085,0.0959377700950735,0.109570081522613,1,1,NaN,1.24719101123595,_proj_,_group_
34,178,1.26404494382022,1.52306167942227,1.325,1.21428571428571,0.0972342264477096,0.11715859072479,1,1,NaN,1.26404494382022,_proj_,_group_
35,169,1.23076923076923,1.34960311626366,1.42352941176471,1.03571428571429,0.0946745562130178,0.103815624327974,1,1,NaN,1.23076923076923,_proj_,_group_
36,187,1.14973262032086,1.29475261603362,1.29545454545455,1.02020202020202,0.088440970793912,0.0995963550795089,1,1,NaN,1.14973262032086,_proj_,_group_
37,171,1.40350877192982,1.5739756608045,1.61363636363636,1.18072289156627,0.107962213225371,0.121075050831115,1,1,NaN,1.40350877192982,_proj_,_group_
38,177,1.15819209039548,1.44515377734148,1.36842105263158,1,0.0890916992611908,0.111165675180114,1,1,NaN,1.15819209039548,_proj_,_group_
