year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,deltaK,propMigSNPs,Ho_allSNPs,project,group,k,nSNP,miggy,LBhet,maxage,broodsize,maturity,years,r0,nSNP.mig,nSNP.cons
0,1000,0,0.428408109090909,0.24536,0,283,0.508,0,0,1,1,0,0.177225907573764,0.466540361777574,1000,0,0.223054545454545,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
1,898,0,0.42862119415894,0.248479449281231,0.476040995852103,535,0.510022271714922,0,-0.000722579979170056,1,1,15,NA,NA,1000,0,0.226523587770804,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
2,817,0,0.428109955914834,0.272779570490709,0.44726912392198,707,0.515299877600979,0,-0.00059985034646112,1,1,110,NA,NA,1000,6.11995104039168e-05,0.253866696339157,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
3,728,0,0.428175310266656,0.311252497502498,0.406967490414896,571,0.532967032967033,0,-0.000459349767153562,1,1,157,NA,NA,1000,0.000343406593406593,0.297002997002997,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
4,674,0,0.428223620962507,0.361246290801187,0.357579614463333,466,0.513353115727003,0,-0.000157365928179693,1,1,208,NA,NA,1000,0.000890207715133531,0.353048287024548,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
5,671,0,0.428468289003203,0.402304565776995,0.315207263628488,441,0.518628912071535,0,0.00018688174017059,1,1,230,NA,NA,1000,0.00171385991058122,0.398780653028045,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
6,700,0,0.428489935064935,0.42334025974026,0.288532874419711,466,0.532857142857143,0,0.000735845336606702,1,1,234,NA,NA,1000,0.00264285714285714,0.422194805194805,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
7,696,0,0.428968039491226,0.42926854754441,0.283069005895019,472,0.547413793103448,0,0.00113308958865643,1,1,224,NA,NA,1000,0.00308908045977011,0.428918495297806,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
8,707,0,0.428391883439708,0.428168959753118,0.28160227553579,478,0.531824611032532,0,0.0016838741006895,1,1,229,NA,NA,1000,0.00353606789250354,0.428134241995628,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
9,740,0,0.428013073577263,0.426646191646192,0.277479707792549,515,0.543243243243243,0,0.00169707265318524,1,1,225,NA,NA,1000,0.00452702702702703,0.426646191646192,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
10,732,0,0.427422759576415,0.425062096373572,0.279888686371134,508,0.506830601092896,0,0.00190216193235392,1,1,224,NA,NA,1000,0.00560109289617486,0.425062096373572,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
11,716,0,0.426398616403415,0.423819197562214,0.282937671804718,494,0.477653631284916,0,0.00238446526648742,1,1,222,NA,NA,1000,0.00600558659217877,0.423819197562214,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
12,722,0,0.425469932286082,0.424691513472677,0.28046516891879,496,0.488919667590028,0,0.00271846487817231,1,1,226,NA,NA,1000,0.00533240997229917,0.424691513472677,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
13,741,0,0.425275745870248,0.424156545209177,0.277830381777958,518,0.473684210526316,0,0.00285809185830969,1,1,223,NA,NA,1000,0.00553306342780027,0.424156545209177,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
14,705,0,0.424526871247559,0.423455834945197,0.283772846981311,491,0.519148936170213,0,0.0029438841297358,1,1,214,NA,NA,1000,0.00645390070921986,0.423455834945197,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
15,705,0,0.423970753254592,0.423520309477756,0.283324118059503,475,0.514893617021277,0,0.00343377294704096,1,1,230,NA,NA,1000,0.00624113475177305,0.423520309477756,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
16,725,0,0.424184542211653,0.42425078369906,0.279504581963717,504,0.508965517241379,0,0.00379809189921184,1,1,221,NA,NA,1000,0.00696551724137931,0.42425078369906,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
17,719,0,0.424057652669772,0.424541661398407,0.280100118083973,501,0.471488178025035,0,0.0039912839930434,1,1,218,NA,NA,1000,0.00618915159944367,0.424541661398407,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
18,732,0,0.425798990306179,0.424267262791853,0.279517584670988,508,0.502732240437158,0,0.00397340900212584,1,1,224,NA,NA,1000,0.00689890710382514,0.424267262791853,_proj_,_group_,1000,100,0,0.45,9,2,1,250,1,10,0
