param,mig,HO,HOLL,HOUL,Fis,FisLL,FisUL,numboff,numboffLL,numboffUL,FST,FSTLL,FSTUL,fstsource,fstsourceLL,fstsourceUL,fissource,fissourceLL,fissourceUL,year
1,1,0.454961745,0.450310489,0.459466713,0.237492998,0.229979425,0.243839357,48.57,43,53,0.016720233,0.014173794,0.019000999,0.011409528,0.010027812,0.012761222,0.423854352,0.414260168,0.435117779,100
2,1,0.455200238,0.450115086,0.459626017,0.237671345,0.230930964,0.244528381,46.21,41,51,0.016746731,0.014368385,0.019024842,0.01140317,0.010077397,0.013084485,0.423501634,0.416633286,0.433223292,100
3,2,0.455461323,0.450322521,0.461003717,0.239081581,0.231823167,0.245522103,48.14,43.475,54.05,0.014242821,0.012178027,0.016404994,0.009534055,0.008368415,0.010637192,0.423802495,0.414726177,0.432791401,100
4,5,0.454456755,0.450338842,0.458542547,0.244198186,0.237492988,0.250655545,48.03,42,55,0.009486321,0.007909405,0.010890256,0.005949509,0.005130138,0.006674999,0.426117488,0.416755569,0.434689741,100
5,2,0.455249204,0.450501476,0.459623986,0.240033573,0.232951444,0.246181613,46.28,42,51.525,0.014044306,0.011981595,0.016764838,0.009439492,0.008157932,0.010920906,0.423865414,0.413638131,0.435034867,100
6,5,0.453872302,0.449836606,0.457799795,0.244879281,0.237451103,0.251382155,44.85,37.95,51,0.009700059,0.008012861,0.011156384,0.005988548,0.005213946,0.006959506,0.424643802,0.413824609,0.436073998,100
1,1,0.448639335,0.442931164,0.454804623,0.29681173,0.287910344,0.30657744,44.39,39,50.525,0.023810284,0.021027507,0.027530863,0.011859924,0.010498857,0.013344839,0.438146226,0.428432249,0.449646111,150
2,1,0.444185092,0.437270879,0.452660107,0.374006545,0.364750856,0.384258531,25.31,21,29,0.025155775,0.020745515,0.030459841,0.008223364,0.006875932,0.00975972,0.450262204,0.443035777,0.460437982,150
3,2,0.450364481,0.444710437,0.455943579,0.297509953,0.28882419,0.305259098,45.34,40,50,0.018274653,0.015303407,0.021727379,0.009179063,0.008059092,0.010677936,0.43788474,0.428029548,0.447647904,150
4,5,0.447550385,0.442190912,0.453556334,0.302503737,0.294599971,0.311609352,46.6,38,56,0.01085845,0.009091298,0.012696685,0.005381716,0.004720673,0.006134222,0.440037501,0.430594711,0.449033299,150
5,2,0.441849345,0.433195535,0.450387392,0.376976862,0.364176551,0.385955575,25.72,21,31,0.018107439,0.014834576,0.022322284,0.006329812,0.005493532,0.007385812,0.450596331,0.439593613,0.462350573,150
