param,mig,HO,HOLL,HOUL,Fis,FisLL,FisUL,numboff,numboffLL,numboffUL,FST,FSTLL,FSTUL,fstsource,fstsourceLL,fstsourceUL,fissource,fissourceLL,fissourceUL,year
8,0,0.45294500897,0.447342433775,0.458235402875,0.23606007772,0.2289773004,0.2425360194,NA,NA,NA,0.02060135544,0.01761335435,0.024271987725,NA,NA,NA,NA,NA,NA,100
8,0,0.44251394516,0.435172044275,0.448245578,0.29623671283,0.2873379512,0.302909459375,NA,NA,NA,0.03315675094,0.029356662725,0.038709747475,NA,NA,NA,NA,NA,NA,150
8,0,0.43236614713,0.42530843145,0.438682791775,0.29209310534,0.28340424005,0.299228294525,NA,NA,NA,0.04498993889,0.04030455855,0.051564993425,NA,NA,NA,NA,NA,NA,175
8,0,0.42557652412,0.41822635765,0.433035621675,0.27381903751,0.265292049775,0.280325573275,NA,NA,NA,0.05209337712,0.046929913,0.0616220172,NA,NA,NA,NA,NA,NA,200
8,0,0.41797063571,0.41061361775,0.42714226255,0.24502932969,0.2380705562,0.25115233565,NA,NA,NA,0.06165837765,0.055306266425,0.0679482903,NA,NA,NA,NA,NA,NA,250
1,1,0.454961745,0.450310489,0.459466713,0.237492998,0.229979425,0.243839357,48.57,43,53,0.016720233,0.014173794,0.019000999,0.011409528,0.010027812,0.012761222,0.423854352,0.414260168,0.435117779,100
3,2,0.455461323,0.450322521,0.461003717,0.239081581,0.231823167,0.245522103,48.14,43.475,54.05,0.014242821,0.012178027,0.016404994,0.009534055,0.008368415,0.010637192,0.423802495,0.414726177,0.432791401,100
4,5,0.454456755,0.450338842,0.458542547,0.244198186,0.237492988,0.250655545,48.03,42,55,0.009486321,0.007909405,0.010890256,0.005949509,0.005130138,0.006674999,0.426117488,0.416755569,0.434689741,100
1,1,0.448639335,0.442931164,0.454804623,0.29681173,0.287910344,0.30657744,44.39,39,50.525,0.023810284,0.021027507,0.027530863,0.011859924,0.010498857,0.013344839,0.438146226,0.428432249,0.449646111,150
3,2,0.450364481,0.444710437,0.455943579,0.297509953,0.28882419,0.305259098,45.34,40,50,0.018274653,0.015303407,0.021727379,0.009179063,0.008059092,0.010677936,0.43788474,0.428029548,0.447647904,150
4,5,0.447550385,0.442190912,0.453556334,0.302503737,0.294599971,0.311609352,46.6,38,56,0.01085845,0.009091298,0.012696685,0.005381716,0.004720673,0.006134222,0.440037501,0.430594711,0.449033299,150
1,1,0.443673938,0.437274762,0.449669318,0.290677693,0.282464411,0.299565445,60.33,54.475,67,0.031428128,0.027629018,0.036747364,0.015083674,0.013338696,0.017383225,0.436979399,0.42750392,0.448483943,175
3,2,0.448189732,0.443356095,0.454233374,0.290289629,0.28180393,0.298294886,61.07,54,67,0.024129358,0.020589082,0.028410194,0.011544859,0.00999857,0.013302673,0.436540788,0.427114378,0.446079197,175
4,5,0.450550367,0.445572684,0.455152488,0.292153727,0.285211655,0.300603807,62.06,52.425,70,0.014775694,0.012122309,0.017691748,0.006937983,0.005876936,0.008147314,0.438238014,0.42905242,0.447152544,175
1,1,0.440778811,0.434302241,0.447249555,0.272208492,0.264310868,0.280255611,45.23,41,51,0.033716653,0.028606946,0.038983692,0.01719083,0.01496201,0.019415431,0.432844633,0.423123258,0.444430321,200
3,2,0.446468424,0.4389721,0.452222066,0.271937611,0.264926037,0.280426934,45.35,40.475,51,0.024488921,0.020797066,0.028414251,0.012411591,0.010719552,0.014121394,0.432328743,0.422616438,0.44179534,200
4,5,0.448767675,0.444165285,0.454133834,0.275468386,0.268422181,0.282991716,44.58,38.475,51,0.013621955,0.011214486,0.016402432,0.006674358,0.005728049,0.007794241,0.434202082,0.425123337,0.443070487,200
1,1,0.439953301,0.432289587,0.446383919,0.241220237,0.234045452,0.248898565,57.09,52,62,0.036110568,0.030311855,0.042357445,0.020221158,0.017626617,0.023216624,0.424895739,0.415739493,0.436585725,250
3,2,0.44778902,0.440977307,0.453905252,0.240998031,0.234501526,0.249791037,56.53,51,63.525,0.024769493,0.021047437,0.028435441,0.013594617,0.011696399,0.015506426,0.424295723,0.415107577,0.433013822,250
4,5,0.452646588,0.447614371,0.456455975,0.244073384,0.237189267,0.249184774,54.98,47.475,63.525,0.013031197,0.010741295,0.015514027,0.006770868,0.005660757,0.008029233,0.426103237,0.416879731,0.43505292,250
5,0.5,0.45416269969,0.449207058725,0.45869075125,0.23596722946,0.230166571075,0.243134082,NA,NA,NA,0.01858610264,0.016520962875,0.02152709235,NA,NA,NA,NA,NA,NA,100
5,0.5,0.44563044385,0.440629609825,0.45157773415,0.2957320649,0.2871773097,0.3037306773,NA,NA,NA,0.02812298499,0.024487012325,0.03332829995,NA,NA,NA,NA,NA,NA,150
5,0.5,0.43779545565,0.429280962125,0.44649985555,0.29080633048,0.282044326325,0.299654842475,NA,NA,NA,0.03746910341,0.032510340325,0.04344748285,NA,NA,NA,NA,NA,NA,175
5,0.5,0.43406004558,0.42554402175,0.4413158508,0.27204307083,0.265611236875,0.280425447125,NA,NA,NA,0.04162088937,0.036550071925,0.047901068075,NA,NA,NA,NA,NA,NA,200
5,0.5,0.43084454506,0.422586194275,0.43717129815,0.2419752969,0.23581477555,0.25117710395,NA,NA,NA,0.04644095688,0.039871978925,0.054197682075,NA,NA,NA,NA,NA,NA,250
