year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,k,nSNP,maxage,broodsize,maturity,years,r0,ratemort,nSNP.mig,nSNP.cons
0,500,0,0.469133136,0.254984,0.457189015,149,0.492,0,0.003258573,1,2,0,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
1,496,0.002016129,0.469229237,0.267129032,0.44444986,319,0.504032258,1,-0.001370454,1,2,27,0.003035041,0.455065123,500,500,9,2,1,250,1,0.055555556,0,0
2,498,0.002008032,0.469235581,0.279425703,0.431359514,469,0.508032129,1,-0.001287663,1,2,29,0.003043838,0.452882566,500,500,9,2,1,250,1,0.055555556,0,0
3,497,0.002012072,0.468869592,0.291464789,0.418379828,465,0.507042254,1,-0.001202303,1,2,32,0.003121514,0.450729557,500,500,9,2,1,250,1,0.055555556,0,0
4,498,0.004016064,0.468831733,0.304421687,0.404541547,467,0.510040161,1,-0.001084298,1,2,31,0.003181468,0.448421826,500,500,9,2,1,250,1,0.055555556,0,0
5,496,0.004032258,0.468918928,0.316657258,0.391723917,458,0.5,1,-0.000994241,1,2,38,0.003181363,0.446306474,500,500,9,2,1,250,1,0.055555556,0,0
6,497,0.004024145,0.468609456,0.328430584,0.378948985,467,0.498993964,1,-0.000874301,1,2,30,0.003230683,0.444177066,500,500,9,2,1,250,1,0.055555556,0,0
7,499,0.006012024,0.468368593,0.339334669,0.367019186,472,0.501002004,1,-0.000774059,1,2,27,0.003233947,0.442172463,500,500,9,2,1,250,1,0.055555556,0,0
8,488,0.006147541,0.468520979,0.37004918,0.335802502,424,0.522540984,1,-0.000487441,1,2,64,0.00333996,0.437159471,500,500,9,2,1,250,1,0.055555556,0,0
9,464,0.00862069,0.467763293,0.421758621,0.285316996,366,0.497844828,1,0.000155321,1,2,98,0.003626703,0.429427969,500,500,9,2,1,250,1,0.055555556,0,0
10,448,0.006696429,0.467510433,0.468348214,0.241302258,339,0.495535714,1,0.000948438,1,2,109,0.003985881,0.422814651,500,500,9,2,1,250,1,0.055555556,0,0
11,489,0.006134969,0.46765075,0.468674847,0.231016193,423,0.513292434,1,0.001155729,1,2,66,0.004138086,0.419875947,500,500,9,2,1,250,1,0.055555556,0,0
12,498,0.008032129,0.467720134,0.46773494,0.229975231,464,0.516064257,1,0.001334059,1,2,34,0.004180859,0.419418238,500,500,9,2,1,250,1,0.055555556,0,0
13,497,0.010060362,0.467798068,0.467440644,0.230582381,470,0.523138833,1,0.001472233,1,2,26,0.004259169,0.419547917,500,500,9,2,1,250,1,0.055555556,0,0
14,497,0.010060362,0.467455052,0.467657948,0.230070012,459,0.52917505,1,0.001655531,1,2,38,0.004367623,0.419474361,500,500,9,2,1,250,1,0.055555556,0,0
15,498,0.010040161,0.467478299,0.4677751,0.229733882,467,0.542168675,1,0.001765677,1,2,31,0.004413264,0.41938628,500,500,9,2,1,250,1,0.055555556,0,0
16,498,0.010040161,0.46737499,0.467779116,0.229644739,471,0.550200803,1,0.001941365,1,2,27,0.004526427,0.419374952,500,500,9,2,1,250,1,0.055555556,0,0
17,491,0.012219959,0.467306648,0.467372709,0.231643348,434,0.517311609,1,0.002341542,1,2,56,0.004743459,0.419928076,500,500,9,2,1,250,1,0.055555556,0,0
18,477,0.01048218,0.467030023,0.467278826,0.234833529,392,0.509433962,1,0.002745681,1,2,85,0.004899822,0.420896676,500,500,9,2,1,250,1,0.055555556,0,0
19,466,0.010729614,0.466746224,0.467480687,0.237074968,368,0.519313305,1,0.003131303,1,2,98,0.005158175,0.421609139,500,500,9,2,1,250,1,0.055555556,0,0
20,479,0.012526096,0.466281183,0.466008351,0.235082148,401,0.511482255,1,0.003426138,1,2,78,0.005314704,0.420899215,500,500,9,2,1,250,1,0.055555556,0,0
21,494,0.012145749,0.46613689,0.466153846,0.231283426,445,0.502024291,1,0.003587212,1,2,49,0.005469037,0.419813528,500,500,9,2,1,250,1,0.055555556,0,0
22,497,0.012072435,0.46598107,0.465585513,0.231067656,468,0.501006036,1,0.003762595,1,2,29,0.005524871,0.419689258,500,500,9,2,1,250,1,0.055555556,0,0
23,496,0.008064516,0.466144645,0.466737903,0.230205314,457,0.5,1,0.003964884,1,2,39,0.005606909,0.419572187,500,500,9,2,1,250,1,0.055555556,0,0
24,498,0.004016064,0.466031548,0.467148594,0.229212002,463,0.502008032,1,0.004268073,1,2,35,0.005803716,0.419348441,500,500,9,2,1,250,1,0.055555556,0,0
25,499,0.004008016,0.465824238,0.467611222,0.228316023,470,0.507014028,1,0.004492159,1,2,28,0.005897915,0.419175215,500,500,9,2,1,250,1,0.055555556,0,0
26,493,0.004056795,0.46560503,0.467281947,0.229883247,443,0.517241379,1,0.004620946,1,2,50,0.005919387,0.41963118,500,500,9,2,1,250,1,0.055555556,0,0
27,484,0.006198347,0.465659787,0.466392562,0.232989378,409,0.524793388,1,0.004886335,1,2,75,0.006035717,0.420421814,500,500,9,2,1,250,1,0.055555556,0,0
28,475,0.006315789,0.465139089,0.465435789,0.235726943,386,0.538947368,1,0.005224875,1,2,89,0.006128068,0.421163833,500,500,9,2,1,250,1,0.055555556,0,0
29,480,0.00625,0.465139132,0.466008333,0.233926864,396,0.520833333,1,0.005753562,1,2,83,0.006437229,0.420716133,500,500,9,2,1,250,1,0.055555556,0,0
30,489,0.008179959,0.4651628,0.466282209,0.231520864,432,0.515337423,1,0.005819901,1,2,57,0.006505879,0.420041108,500,500,9,2,1,250,1,0.055555556,0,0
31,497,0.00804829,0.465219968,0.466692153,0.229262443,460,0.515090543,1,0.005849029,1,2,37,0.006552414,0.419415669,500,500,9,2,1,250,1,0.055555556,0,0
