year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,k,nSNP,maxage,broodsize,maturity,years,r0,ratemort,nSNP.mig,nSNP.cons
0,500,0,0.470410488,0.248744,0.454620144,152,0.526,0.5,0.003244096,1,6c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
1,497,0.002012072,0.470423527,0.260873239,0.459166064,308,0.521126761,0.5,-0.001386866,1,6c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
2,497,0,0.470705841,0.275070423,0.444301437,463,0.517102616,0.5,-0.001286054,1,6c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
3,497,0.002012072,0.470536183,0.290084507,0.42830705,460,0.515090543,0.5,-0.001182228,1,6c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
4,498,0.002008032,0.470306535,0.305108434,0.412197519,459,0.510040161,0.5,-0.001021733,1,6c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
5,497,0.004024145,0.470255667,0.3181167,0.398450924,462,0.519114688,0.5,-0.000895097,1,6c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
6,495,0.002020202,0.469956988,0.330541414,0.385275378,457,0.519191919,0.5,-0.000769135,1,6c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
7,499,0.004008016,0.469831117,0.342869739,0.371749854,470,0.5250501,0.5,-0.000622836,1,6c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
8,494,0.004048583,0.469691627,0.367279352,0.346377842,442,0.532388664,0.5,-0.000466924,1,6c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
9,473,0.006342495,0.46945598,0.414701903,0.299962341,384,0.543340381,0.5,1.65E-05,1,6c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
10,445,0.004494382,0.469114097,0.470548315,0.249202566,334,0.548314607,0.5,0.000747706,1,6c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
11,487,0.006160164,0.468589512,0.468969199,0.239726854,419,0.546201232,0.5,0.001028176,1,6c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
12,496,0.004032258,0.468282152,0.468508065,0.237798775,456,0.538306452,0.5,0.001197668,1,6c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
13,497,0.006036217,0.468472878,0.468124748,0.238121807,462,0.531187123,0.5,0.00132431,1,6c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
14,498,0.004016064,0.468137187,0.468277108,0.237450375,464,0.532128514,0.5,0.001527282,1,6c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
15,498,0.006024096,0.468108022,0.467903614,0.237823681,461,0.52811245,0.5,0.001704313,1,6c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
16,498,0.004016064,0.467884183,0.467722892,0.237834212,468,0.534136546,0.5,0.001845009,1,6c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
