year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,k,nSNP,maxage,broodsize,maturity,years,r0,ratemort,nSNP.mig,nSNP.cons
0,500,0,0.469964576,0.25104,0.465501713,142,0.51,0,0.003340574,1,8b,0,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
1,497,0.002012072,0.470058087,0.262985915,0.454012603,299,0.511066398,1,-0.001378678,1,8b,27,0.003198747,0.463497223,500,500,9,2,1,250,1,0.055555556,0,0
2,498,0.002008032,0.469961509,0.276787149,0.439302297,465,0.512048193,1,-0.001270509,1,8b,33,0.003171151,0.461046616,500,500,9,2,1,250,1,0.055555556,0,0
3,498,0.002008032,0.469628252,0.28953012,0.425580398,465,0.536144578,1,-0.001137812,1,8b,33,0.003250679,0.458764037,500,500,9,2,1,250,1,0.055555556,0,0
4,496,0.006048387,0.469769698,0.303120968,0.411358724,458,0.528225806,0,-0.001020232,1,8b,38,0.0033008,0.456410892,500,500,9,2,1,250,1,0.055555556,0,0
5,497,0.00804829,0.469505783,0.316080483,0.397395208,457,0.521126761,0,-0.000901824,1,8b,40,0.003296669,0.454083716,500,500,9,2,1,250,1,0.055555556,0,0
6,497,0.00804829,0.469510568,0.329609658,0.383052076,462,0.511066398,1,-0.00080315,1,8b,35,0.003358062,0.451698807,500,500,9,2,1,250,1,0.055555556,0,0
7,498,0.010040161,0.469448759,0.340923695,0.370915886,472,0.516064257,1,-0.000733623,1,8b,26,0.003374938,0.4496687,500,500,9,2,1,250,1,0.055555556,0,0
8,491,0.010183299,0.469240355,0.367885947,0.343036764,434,0.511201629,1,-0.000461652,1,8b,57,0.003491781,0.445152619,500,500,9,2,1,250,1,0.055555556,0,0
9,473,0.010570825,0.469274149,0.413150106,0.298583221,383,0.520084567,0,-2.97E-06,1,8b,89,0.003689297,0.438219096,500,500,9,2,1,250,1,0.055555556,0,0
10,450,0.011111111,0.468434652,0.467008889,0.247981897,338,0.515555556,0,0.001096636,1,8b,110,0.00416811,0.430705605,500,500,9,2,1,250,1,0.055555556,0,0
11,489,0.012269939,0.468428883,0.466343558,0.239039744,427,0.507157464,1,0.001290411,1,8b,62,0.004294385,0.428044697,500,500,9,2,1,250,1,0.055555556,0,0
12,497,0.014084507,0.468418989,0.466317907,0.237180571,457,0.494969819,0,0.001383587,1,8b,38,0.004311302,0.427484974,500,500,9,2,1,250,1,0.055555556,0,0
13,496,0.018145161,0.468227936,0.466016129,0.237579133,465,0.504032258,0,0.00155502,1,8b,31,0.004355261,0.427589155,500,500,9,2,1,250,1,0.055555556,0,0
14,498,0.018072289,0.468111135,0.466345382,0.236668584,457,0.504016064,1,0.001713852,1,8b,41,0.004473488,0.42737867,500,500,9,2,1,250,1,0.055555556,0,0
15,498,0.016064257,0.467961114,0.466843373,0.236017007,462,0.514056225,1,0.001968695,1,8b,36,0.004575296,0.427275496,500,500,9,2,1,250,1,0.055555556,0,0
16,498,0.018072289,0.46777985,0.466208835,0.2365445,473,0.502008032,0,0.002136912,1,8b,25,0.00462602,0.427369266,500,500,9,2,1,250,1,0.055555556,0,0
17,493,0.022312373,0.467572136,0.464624746,0.239224414,443,0.503042596,0,0.00233765,1,8b,50,0.004721902,0.42797794,500,500,9,2,1,250,1,0.055555556,0,0
18,479,0.014613779,0.466785235,0.466409186,0.240058902,400,0.505219207,1,0.002979469,1,8b,79,0.00502104,0.428579515,500,500,9,2,1,250,1,0.055555556,0,0
19,466,0.015021459,0.466652011,0.464892704,0.244723034,369,0.519313305,0,0.003146843,1,8b,97,0.005028548,0.429745089,500,500,9,2,1,250,1,0.055555556,0,0
20,483,0.016563147,0.466360227,0.464749482,0.240490454,405,0.532091097,1,0.003442433,1,8b,78,0.005173594,0.428538806,500,500,9,2,1,250,1,0.055555556,0,0
21,494,0.01417004,0.466043514,0.465048583,0.237304702,444,0.532388664,0,0.003723372,1,8b,50,0.00533041,0.427680092,500,500,9,2,1,250,1,0.055555556,0,0
22,499,0.018036072,0.465913872,0.46303006,0.238180983,464,0.5250501,0,0.003834211,1,8b,34,0.005374834,0.427672494,500,500,9,2,1,250,1,0.055555556,0,0
23,496,0.018145161,0.46589619,0.463052419,0.238838282,458,0.538306452,0,0.003957867,1,8b,38,0.005401825,0.427875939,500,500,9,2,1,250,1,0.055555556,0,0
24,496,0.012096774,0.465835901,0.463665323,0.238137407,457,0.538306452,1,0.004146745,1,8b,39,0.005549911,0.427761928,500,500,9,2,1,250,1,0.055555556,0,0
25,499,0.012024048,0.465744901,0.463302605,0.237752607,471,0.543086172,0,0.004229759,1,8b,28,0.005605933,0.427607099,500,500,9,2,1,250,1,0.055555556,0,0
26,495,0.01010101,0.465504316,0.464084848,0.237656114,448,0.543434343,1,0.004391008,1,8b,47,0.005652078,0.427724809,500,500,9,2,1,250,1,0.055555556,0,0
27,484,0.004132231,0.465179782,0.465028926,0.23901272,413,0.535123967,1,0.004620523,1,8b,71,0.00573756,0.428303944,500,500,9,2,1,250,1,0.055555556,0,0
28,475,0.004210526,0.465035506,0.465456842,0.240643609,387,0.522105263,1,0.004855309,1,8b,88,0.005864773,0.428856026,500,500,9,2,1,250,1,0.055555556,0,0
29,481,0.006237006,0.46484551,0.465022869,0.239478092,398,0.509355509,0,0.005246115,1,8b,83,0.006060316,0.428484867,500,500,9,2,1,250,1,0.055555556,0,0
30,490,0.008163265,0.464679471,0.464526531,0.237701775,432,0.518367347,1,0.005436516,1,8b,58,0.00617264,0.427916991,500,500,9,2,1,250,1,0.055555556,0,0
31,497,0.00804829,0.464486391,0.464808853,0.235586795,456,0.519114688,0,0.005609343,1,8b,41,0.00627452,0.427353817,500,500,9,2,1,250,1,0.055555556,0,0
32,496,0.010080645,0.464135133,0.463754032,0.236660247,460,0.495967742,0,0.005849362,1,8b,36,0.0064205,0.427574797,500,500,9,2,1,250,1,0.055555556,0,0
33,496,0.010080645,0.464074373,0.463616935,0.23675687,457,0.485887097,0,0.005802873,1,8b,39,0.006351032,0.427592819,500,500,9,2,1,250,1,0.055555556,0,0
34,497,0.010060362,0.463834168,0.463661972,0.23627798,468,0.494969819,0,0.005928601,1,8b,29,0.006413703,0.42749029,500,500,9,2,1,250,1,0.055555556,0,0
35,495,0.014141414,0.463911401,0.462808081,0.237720972,451,0.480808081,0,0.006075772,1,8b,43,0.006482151,0.427788964,500,500,9,2,1,250,1,0.055555556,0,0
36,489,0.016359918,0.463705137,0.461513292,0.240342988,425,0.494887526,1,0.006272032,1,8b,64,0.006520899,0.42841464,500,500,9,2,1,250,1,0.055555556,0,0
37,481,0.016632017,0.463576445,0.461721414,0.241929438,401,0.501039501,1,0.006579844,1,8b,80,0.006616179,0.42892604,500,500,9,2,1,250,1,0.055555556,0,0
