YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset,col,mig
-1,NA,NA,NA,NA,NA,NA,NA,1,b,blue,0
0,441,0.963718821,1.145564074,0.913934426,1.025380711,0.096371882,1.145564074,1,b,blue,0
1,27,1.074074074,1.106829357,1.307692308,0.857142857,0.107407407,1.106829357,1,b,blue,0
2,29,1.275862069,1.485562705,1.6,0.928571429,0.127586207,1.485562705,1,b,blue,0
3,41,1.926829268,1.954357233,1.76,2.1875,0.192682927,1.954357233,1,b,blue,0
4,33,1.96969697,1.510067227,2.1,1.769230769,0.196969697,1.510067227,1,b,blue,0
5,47,2.276595745,1.513736058,2,2.5,0.227659574,1.513736058,1,b,blue,0
6,40,2.475,1.501921846,2.090909091,2.944444444,0.2475,1.501921846,1,b,blue,0
7,30,2.4,1.811838464,2.25,2.5,0.24,1.811838464,1,b,blue,0
8,46,1.695652174,1.443291997,1.777777778,1.578947368,0.169565217,1.443291997,1,b,blue,0
9,92,1.891304348,1.680244107,1.772727273,2,0.189130435,1.680244107,1,b,blue,0
10,110,1.618181818,1.427012136,1.428571429,1.814814815,0.161818182,1.427012136,1,b,blue,0
11,66,2.212121212,1.631565096,2.216216216,2.206896552,0.221212121,1.631565096,1,b,blue,0
12,43,1.813953488,1.954918266,2.4375,1.444444444,0.181395349,1.954918266,1,b,blue,0
13,32,1.9375,1.74017982,1.666666667,2.285714286,0.19375,1.74017982,1,b,blue,0
14,41,2.414634146,2.167667061,2.555555556,2.304347826,0.241463415,2.167667061,1,b,blue,0
15,37,1.783783784,1.336145683,1.714285714,1.875,0.178378378,1.336145683,1,b,blue,0
16,35,2.085714286,1.401080016,2.55,1.466666667,0.208571429,1.401080016,1,b,blue,0
17,44,2.159090909,1.975938774,2.7,1.708333333,0.215909091,1.975938774,1,b,blue,0
18,77,1.818181818,1.448477174,1.971428571,1.69047619,0.181818182,1.448477174,1,b,blue,0
19,93,2.107526882,1.631632722,2.166666667,2.058823529,0.210752688,1.631632722,1,b,blue,0
20,79,1.810126582,1.441828872,1.815789474,1.804878049,0.181012658,1.441828872,1,b,blue,0
21,54,2.074074074,1.41223564,2.153846154,2,0.207407407,1.41223564,1,b,blue,0
22,38,2,1.524573489,1.882352941,2.095238095,0.2,1.524573489,1,b,blue,0
23,39,2.205128205,1.435993827,1.6,2.583333333,0.220512821,1.435993827,1,b,blue,0
24,36,2,1.927248223,2.133333333,1.904761905,0.2,1.927248223,1,b,blue,0
25,37,2.405405405,1.535857695,2.526315789,2.277777778,0.240540541,1.535857695,1,b,blue,0
26,41,1.804878049,1.600304849,1.826086957,1.777777778,0.180487805,1.600304849,1,b,blue,0
27,69,2.130434783,1.561607802,2.292682927,1.892857143,0.213043478,1.561607802,1,b,blue,0
28,84,1.904761905,1.533709949,1.795454545,2.025,0.19047619,1.533709949,1,b,blue,0
29,81,1.888888889,1.46628783,2,1.8,0.188888889,1.46628783,1,b,blue,0
30,65,1.846153846,1.57351884,1.588235294,2.129032258,0.184615385,1.57351884,1,b,blue,0
31,42,2.214285714,1.490387317,2.391304348,2,0.221428571,1.490387317,1,b,blue,0
32,41,1.780487805,1.255232949,1.857142857,1.7,0.17804878,1.255232949,1,b,blue,0
33,37,2.243243243,1.689927766,2.1,2.411764706,0.224324324,1.689927766,1,b,blue,0
34,37,2.027027027,1.322591868,1.863636364,2.266666667,0.202702703,1.322591868,1,b,blue,0
35,39,2.128205128,1.321472209,1.857142857,2.444444444,0.212820513,1.321472209,1,b,blue,0
36,63,1.968253968,1.534214667,1.72972973,2.307692308,0.196825397,1.534214667,1,b,blue,0
37,76,2.026315789,1.599780687,1.8,2.277777778,0.202631579,1.599780687,1,b,blue,0
38,81,1.691358025,1.347608765,1.527777778,1.822222222,0.169135802,1.347608765,1,b,blue,0
39,68,1.867647059,1.505258561,1.875,1.857142857,0.186764706,1.505258561,1,b,blue,0
40,50,2.32,1.942436929,1.84,2.8,0.232,1.942436929,1,b,blue,0
41,44,2.113636364,1.384564562,2.045454545,2.181818182,0.211363636,1.384564562,1,b,blue,0
42,36,2.027777778,1.18288053,2.19047619,1.8,0.202777778,1.18288053,1,b,blue,0
43,39,2,1.468977446,1.869565217,2.1875,0.2,1.468977446,1,b,blue,0
44,38,2.236842105,1.634661888,1.826086957,2.866666667,0.223684211,1.634661888,1,b,blue,0
45,56,2.232142857,1.439584175,2.09375,2.416666667,0.223214286,1.439584175,1,b,blue,0
46,71,2.126760563,1.6981467,1.947368421,2.333333333,0.212676056,1.6981467,1,b,blue,0
47,80,2.0125,1.695069171,1.871794872,2.146341463,0.20125,1.695069171,1,b,blue,0
48,72,1.722222222,1.224425387,1.75,1.6875,0.172222222,1.224425387,1,b,blue,0
49,57,1.859649123,1.673731892,1.807692308,1.903225806,0.185964912,1.673731892,1,b,blue,0
50,45,1.933333333,1.268499471,2.1,1.8,0.193333333,1.268499471,1,b,blue,0
51,39,2.358974359,1.630098148,2.3,2.421052632,0.235897436,1.630098148,1,b,blue,0
52,40,2,1.585187848,1.958333333,2.0625,0.2,1.585187848,1,b,blue,0
53,36,2.027777778,1.502114911,1.8,2.3125,0.202777778,1.502114911,1,b,blue,0
54,51,1.960784314,1.35588767,1.75,2.148148148,0.196078431,1.35588767,1,b,blue,0
55,67,2.074626866,1.58891456,1.972972973,2.2,0.207462687,1.58891456,1,b,blue,0
56,73,1.931506849,1.272887871,2.4375,1.536585366,0.193150685,1.272887871,1,b,blue,0
57,75,1.906666667,1.367314722,1.947368421,1.864864865,0.190666667,1.367314722,1,b,blue,0
58,62,1.983870968,1.454128498,1.739130435,2.128205128,0.198387097,1.454128498,1,b,blue,0
59,50,2.06,1.503872552,2.3,1.9,0.206,1.503872552,1,b,blue,0
60,42,2.047619048,1.342592704,2.074074074,2,0.204761905,1.342592704,1,b,blue,0
61,41,2.12195122,1.832963747,2.238095238,2,0.212195122,1.832963747,1,b,blue,0
62,36,2.166666667,1.715475777,1.882352941,2.421052632,0.216666667,1.715475777,1,b,blue,0
63,50,1.88,1.394449639,1.966666667,1.75,0.188,1.394449639,1,b,blue,0
64,61,1.803278689,1.536442559,1.46875,2.172413793,0.180327869,1.536442559,1,b,blue,0
65,70,2.242857143,1.478696197,2.3,2.166666667,0.224285714,1.478696197,1,b,blue,0
66,73,1.931506849,1.417438683,1.948717949,1.911764706,0.193150685,1.417438683,1,b,blue,0
67,64,1.8125,1.489380397,1.875,1.75,0.18125,1.489380397,1,b,blue,0
