YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset,col,mig
-1,1221,0.961506962,1.166889809,0.99668325,0.927184466,0.068679069,1.166889809,1,d,springgreen,5
0,476,0.831932773,1.099813019,0.881057269,0.787148594,0.05942377,1.099813019,1,d,springgreen,5
1,23,1.260869565,1.214210979,1.538461538,0.9,0.090062112,1.214210979,1,d,springgreen,5
2,24,1.625,1.739877557,1.8,1.5,0.116071429,1.739877557,1,d,springgreen,5
3,24,2,1.560378995,2.272727273,1.769230769,0.142857143,1.560378995,1,d,springgreen,5
4,32,2,1.626395183,2.583333333,1.65,0.142857143,1.626395183,1,d,springgreen,5
5,28,2.142857143,1.879997749,2.545454545,1.882352941,0.153061224,1.879997749,1,d,springgreen,5
6,26,2.961538462,2.029399305,2.571428571,3.416666667,0.211538462,2.029399305,1,d,springgreen,5
7,22,2.590909091,1.680677044,2.214285714,3.25,0.185064935,1.680677044,1,d,springgreen,5
8,47,2.234042553,1.631387326,1.818181818,2.6,0.159574468,1.631387326,1,d,springgreen,5
9,99,1.97979798,1.702218229,2.019230769,1.936170213,0.141414141,1.702218229,1,d,springgreen,5
10,119,1.579831933,1.405170828,1.568965517,1.590163934,0.112845138,1.405170828,1,d,springgreen,5
11,77,2.116883117,1.646160013,2.243243243,2,0.151205937,1.646160013,1,d,springgreen,5
12,36,2.166666667,1.341640786,2.047619048,2.333333333,0.154761905,1.341640786,1,d,springgreen,5
13,29,2.931034483,2.827556169,2.0625,4,0.209359606,2.827556169,1,d,springgreen,5
14,27,1.888888889,1.423250163,2,1.727272727,0.134920635,1.423250163,1,d,springgreen,5
15,24,2.041666667,1.944427191,1.785714286,2.4,0.145833333,1.944427191,1,d,springgreen,5
16,22,1.909090909,1.508991808,2,1.846153846,0.136363636,1.508991808,1,d,springgreen,5
17,43,2.139534884,1.726286895,1.913043478,2.4,0.15282392,1.726286895,1,d,springgreen,5
18,83,1.542168675,1.556271379,1.595744681,1.472222222,0.110154905,1.556271379,1,d,springgreen,5
19,97,1.81443299,1.379386163,1.66,1.978723404,0.129602356,1.379386163,1,d,springgreen,5
20,88,1.602272727,1.3177809,1.591836735,1.615384615,0.114448052,1.3177809,1,d,springgreen,5
21,57,1.824561404,1.637973563,1.703703704,1.933333333,0.130325815,1.637973563,1,d,springgreen,5
22,32,1.96875,1.513048088,1.5,2.25,0.140625,1.513048088,1,d,springgreen,5
23,29,2.482758621,1.844309582,2.555555556,2.363636364,0.177339901,1.844309582,1,d,springgreen,5
24,24,1.833333333,1.551063216,1.4375,2.625,0.130952381,1.551063216,1,d,springgreen,5
25,26,2.461538462,2.436895882,2,2.705882353,0.175824176,2.436895882,1,d,springgreen,5
26,39,1.692307692,1.575367061,1.761904762,1.611111111,0.120879121,1.575367061,1,d,springgreen,5
27,71,2.112676056,1.271099589,2.076923077,2.15625,0.150905433,1.271099589,1,d,springgreen,5
28,86,1.744186047,1.382121528,2.023809524,1.477272727,0.124584718,1.382121528,1,d,springgreen,5
29,86,1.558139535,1.184256045,1.666666667,1.468085106,0.111295681,1.184256045,1,d,springgreen,5
30,67,1.910447761,1.389695228,1.787878788,2.029411765,0.136460554,1.389695228,1,d,springgreen,5
31,44,1.568181818,1.484771179,1.782608696,1.333333333,0.112012987,1.484771179,1,d,springgreen,5
32,30,1.666666667,1.34762456,1.642857143,1.6875,0.119047619,1.34762456,1,d,springgreen,5
33,26,2.192307692,1.625281041,2.133333333,2.272727273,0.156593407,1.625281041,1,d,springgreen,5
34,24,2.541666667,1.64129235,2.571428571,2.5,0.181547619,1.64129235,1,d,springgreen,5
35,38,1.894736842,1.331316635,1.9,1.888888889,0.135338346,1.331316635,1,d,springgreen,5
36,63,2.015873016,1.250703847,1.76,2.184210526,0.14399093,1.250703847,1,d,springgreen,5
37,76,1.710526316,1.273481208,1.846153846,1.567567568,0.122180451,1.273481208,1,d,springgreen,5
38,83,1.698795181,1.246800195,1.9,1.511627907,0.121342513,1.246800195,1,d,springgreen,5
39,76,1.881578947,1.451133858,1.953488372,1.787878788,0.134398496,1.451133858,1,d,springgreen,5
40,55,1.945454545,1.520455363,1.807692308,2.068965517,0.138961039,1.520455363,1,d,springgreen,5
41,32,2.0625,1.216486214,2.428571429,1.777777778,0.147321429,1.216486214,1,d,springgreen,5
42,29,2.034482759,1.179671825,1.583333333,2.352941176,0.145320197,1.179671825,1,d,springgreen,5
43,21,1.904761905,1.374945886,1.571428571,2.071428571,0.136054422,1.374945886,1,d,springgreen,5
44,39,2.051282051,1.468058473,2.19047619,1.888888889,0.146520147,1.468058473,1,d,springgreen,5
45,58,1.775862069,1.22893626,1.774193548,1.777777778,0.126847291,1.22893626,1,d,springgreen,5
46,69,1.826086957,1.484790753,1.896551724,1.775,0.130434783,1.484790753,1,d,springgreen,5
47,78,2.064102564,1.444557575,2.088888889,2.03030303,0.147435897,1.444557575,1,d,springgreen,5
48,80,1.85,1.60773447,1.568181818,2.194444444,0.132142857,1.60773447,1,d,springgreen,5
49,66,1.787878788,1.534376862,1.794117647,1.78125,0.127705628,1.534376862,1,d,springgreen,5
50,38,2.131578947,1.211901625,2.166666667,2.1,0.152255639,1.211901625,1,d,springgreen,5
51,32,2.0625,1.162241994,1.928571429,2.166666667,0.147321429,1.162241994,1,d,springgreen,5
52,22,2.818181818,1.735795787,2.444444444,3.076923077,0.201298701,1.735795787,1,d,springgreen,5
53,36,1.972222222,1.502114911,2.058823529,1.894736842,0.140873016,1.502114911,1,d,springgreen,5
54,53,2.056603774,1.350428626,2.148148148,1.961538462,0.14690027,1.350428626,1,d,springgreen,5
55,65,1.753846154,1.262818886,2.085714286,1.366666667,0.125274725,1.262818886,1,d,springgreen,5
56,74,1.756756757,1.311809488,1.777777778,1.736842105,0.125482625,1.311809488,1,d,springgreen,5
57,78,1.679487179,1.427863628,1.594594595,1.756097561,0.11996337,1.427863628,1,d,springgreen,5
58,67,1.701492537,1.392783624,1.71875,1.685714286,0.121535181,1.392783624,1,d,springgreen,5
59,43,2.186046512,1.665558879,1.956521739,2.45,0.156146179,1.665558879,1,d,springgreen,5
60,31,2.516129032,1.524706917,3,2.166666667,0.179723502,1.524706917,1,d,springgreen,5
61,22,1.909090909,1.341963413,1.666666667,2.2,0.136363636,1.341963413,1,d,springgreen,5
62,38,2.236842105,1.217756256,2.428571429,2,0.159774436,1.217756256,1,d,springgreen,5
63,50,2.08,1.426283883,2.125,2.038461538,0.148571429,1.426283883,1,d,springgreen,5
64,60,1.683333333,1.321166237,1.90625,1.428571429,0.120238095,1.321166237,1,d,springgreen,5
