year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,k,nSNP,maxage,broodsize,maturity,years,r0,ratemort,nSNP.mig,nSNP.cons
0,500,0,0.469558972,0.252868,0.467044795663973,138,0.522,0,0.00343451212585738,1,1,0,NA,NA,500,500,9,2,1,250,1,0.0555555555555556,0,0
1,498,0.00200803212851406,0.469420630312414,0.264979919678715,0.449326168542814,306,0.520080321285141,1,-0.00137026202285892,1,1,28,0.00319291809663211,0.464496881112719,500,500,9,2,1,250,1,0.0555555555555556,0,0
2,498,0.00602409638554217,0.469576551184658,0.277843373493976,0.435759908627925,464,0.538152610441767,0,-0.00130281779589345,1,1,34,0.00317132215529814,0.462240471888808,500,500,9,2,1,250,1,0.0555555555555556,0,0
3,499,0.00801603206412826,0.469516893506452,0.291807615230461,0.420854045528,466,0.543086172344689,1,-0.00119772564892983,1,1,33,0.00320229468627461,0.459755739022024,500,500,9,2,1,250,1,0.0555555555555556,0,0
4,497,0.00603621730382294,0.469417899752641,0.303348088531187,0.40863474919973,464,0.549295774647887,1,-0.00112851393206771,1,1,33,0.00328903036918518,0.457739488045143,500,500,9,2,1,250,1,0.0555555555555556,0,0
5,497,0.0100603621730382,0.469451445089045,0.315452716297787,0.395814148636809,463,0.549295774647887,0,-0.00105154916746666,1,1,34,0.00332155929734834,0.455609398078606,500,500,9,2,1,250,1,0.0555555555555556,0,0
6,498,0.0100401606425703,0.469333418009387,0.328767068273092,0.381528972756698,459,0.552208835341365,1,-0.000878587237777308,1,1,38,0.0033553690990781,0.453225937446673,500,500,9,2,1,250,1,0.0555555555555556,0,0
7,499,0.00801603206412826,0.469116593909261,0.339386773547094,0.370010446625848,471,0.559118236472946,1,-0.000790797253914259,1,1,28,0.00338898807278052,0.451300762154765,500,500,9,2,1,250,1,0.0555555555555556,0,0
8,492,0.0101626016260163,0.469010654207152,0.362524390243902,0.346163292765806,442,0.556910569105691,1,-0.000588311426907265,1,1,50,0.00345232967243617,0.447453898902881,500,500,9,2,1,250,1,0.0555555555555556,0,0
9,471,0.0127388535031847,0.468533616418967,0.411694267515924,0.297600802191531,376,0.532908704883227,0,-1.76229743461554e-06,1,1,95,0.00370046923748688,0.43993363045218,500,500,9,2,1,250,1,0.0555555555555556,0,0
10,445,0.0134831460674157,0.467536235323823,0.465541573033708,0.24766340422666,335,0.50561797752809,1,0.00083050319203761,1,1,110,0.00399937666158557,0.432659535505673,500,500,9,2,1,250,1,0.0555555555555556,0,0
11,487,0.0143737166324435,0.466921064725997,0.464632443531828,0.237796411368867,416,0.498973305954825,0,0.00116283998861091,1,1,71,0.00420946949277421,0.429767135903432,500,500,9,2,1,250,1,0.0555555555555556,0,0
12,496,0.0181451612903226,0.466736549655307,0.463302419354839,0.236962848510147,462,0.493951612903226,0,0.00132168945580186,1,1,34,0.00425929613151861,0.429349163076235,500,500,9,2,1,250,1,0.0555555555555556,0,0
13,498,0.0160642570281124,0.466466391671102,0.463650602409639,0.235913172502723,464,0.491967871485944,1,0.00145851545391394,1,1,34,0.00431051596836321,0.429120671389774,500,500,9,2,1,250,1,0.0555555555555556,0,0
14,498,0.0140562248995984,0.46631507959549,0.463714859437751,0.235721299301689,466,0.491967871485944,1,0.00163387087970564,1,1,32,0.00439946218862242,0.42909405368423,500,500,9,2,1,250,1,0.0555555555555556,0,0
15,498,0.0140562248995984,0.466287926807632,0.463506024096386,0.235921749342403,461,0.491967871485944,1,0.00175897215318187,1,1,37,0.00450720374807804,0.429128207893892,500,500,9,2,1,250,1,0.0555555555555556,0,0
16,499,0.0160320641282565,0.466123244484962,0.462877755511022,0.23622844874984,471,0.501002004008016,0,0.0020002958919335,1,1,28,0.00464580499328665,0.429152774692202,500,500,9,2,1,250,1,0.0555555555555556,0,0
