param,mig,HO,HOLL,HOUL,Fis,FisLL,FisUL,numboff,numboffLL,numboffUL,FST,FSTLL,FSTUL,fstsource,fstsourceLL,fstsourceUL,fissource,fissourceLL,fissourceUL,year
1,1,0.45516804,0.450528234,0.458671984,0.237516291,0.230965652,0.242635233,48.85,44,52,0.01673552,0.014290173,0.019552806,0.011328079,0.009952308,0.012822887,0.424227184,0.411714925,0.435232264,100
2,1,0.455005821,0.450143885,0.45892943,0.238305115,0.231111864,0.243957366,46.59,42.475,51,0.016624434,0.014268593,0.019238819,0.011388985,0.010001457,0.012843637,0.42391823,0.415367366,0.432775034,100
3,2,0.455803028,0.451095931,0.461180386,0.239175318,0.23151243,0.24620559,48.2,44,53.525,0.014187851,0.0123118,0.016980522,0.009457456,0.008200684,0.011110303,0.424050642,0.41228361,0.436255827,100
4,5,0.454237158,0.449537927,0.458473859,0.244284342,0.236961405,0.252934564,47.39,41,54,0.009636722,0.007781203,0.011479318,0.006032093,0.005144851,0.006994836,0.424087718,0.414853813,0.433946494,100
5,2,0.455257099,0.450535615,0.459284,0.239893837,0.233292032,0.24567877,46.13,41.475,51,0.014147444,0.012157345,0.016539013,0.009470939,0.008186381,0.010751459,0.424095573,0.413908206,0.435008221,100
6,5,0.453931568,0.449778994,0.457951785,0.245184254,0.23810895,0.2515076,45.05,38,50.525,0.009737406,0.008464899,0.011249199,0.006010614,0.005326731,0.006759047,0.424625296,0.413422229,0.436524019,100
7,1.5,0.455209921,0.450814859,0.460026174,0.238957235,0.230751229,0.245809206,45.94,42,51,0.015318367,0.012835112,0.017457623,0.010358746,0.008864542,0.011761228,0.423884614,0.413179755,0.434257262,100
8,1.5,0.455275058,0.450641106,0.460793092,0.23845513,0.232155436,0.245179665,48.99,45,53,0.015470389,0.013696737,0.017568082,0.010432358,0.009146163,0.011727109,0.423417038,0.412751722,0.4336111,100
1,1,0.44888363,0.443499482,0.454382838,0.296199497,0.288476275,0.302742448,44.63,38.95,51.05,0.023853204,0.020350311,0.027924625,0.011843022,0.010328651,0.013526188,0.438419744,0.424810545,0.449486476,150
2,1,0.443834917,0.434704146,0.451680251,0.374895696,0.364678722,0.38410978,25.42,21,30,0.025118607,0.020891955,0.030964584,0.008248567,0.007137502,0.009771671,0.450688398,0.441804414,0.459746149,150
3,2,0.449811859,0.444224432,0.455789436,0.298146089,0.288835754,0.306652524,45.19,39.475,51.525,0.018438539,0.016071786,0.021649742,0.009202018,0.007963951,0.010760878,0.438207616,0.426085125,0.450811189,150
4,5,0.447718953,0.441030189,0.452501861,0.302402871,0.291985845,0.313695008,45.91,38,55,0.010966759,0.009227534,0.013133869,0.005425143,0.004739511,0.006247173,0.437955022,0.428616769,0.448061821,150
5,2,0.442196388,0.432092914,0.449018059,0.37612819,0.366811218,0.387917396,26.09,21.475,30,0.018617633,0.015152473,0.023639442,0.006469359,0.005674903,0.007461899,0.450773165,0.440304942,0.46172015,150
6,5,0.426615635,0.415915708,0.435980638,0.383708676,0.371282158,0.394020941,25.65,20,31.525,0.010073274,0.008030602,0.013156428,0.004167698,0.003571576,0.004842739,0.451366614,0.440215539,0.463587164,150
7,1.5,0.441848546,0.434440067,0.450522277,0.376441214,0.366060922,0.386471072,25.13,19.475,30,0.021322461,0.017666956,0.026562731,0.007192034,0.00613493,0.008423683,0.450736296,0.439087212,0.461932687,150
8,1.5,0.449299426,0.443375344,0.455067057,0.297505811,0.288758672,0.304762587,45.08,38,53,0.020838155,0.018065776,0.024331319,0.010408892,0.009106781,0.012004551,0.437594847,0.42635312,0.447808709,150
1,1,0.443564284,0.437043889,0.45026875,0.290143366,0.283099046,0.297854975,61.28,53,67.525,0.031656696,0.025775927,0.037147379,0.015182973,0.012611689,0.017375825,0.437270681,0.4239177,0.448158898,175
2,1,0.430396458,0.41832505,0.441293977,0.372344491,0.363665971,0.380813651,30.13,26,34,0.042655415,0.032722673,0.051125429,0.01229195,0.009934529,0.014387529,0.450381005,0.441388369,0.459776919,175
3,2,0.448198644,0.441137124,0.455387548,0.290457731,0.280820877,0.299758262,61.56,56,68,0.023847171,0.020198193,0.02917122,0.011408852,0.009695486,0.013663517,0.436793091,0.424265341,0.449811742,175
4,5,0.45079198,0.444841076,0.456257225,0.291935908,0.280651935,0.301748803,62.03,53.475,71,0.014431505,0.011877529,0.017973089,0.006833457,0.005892395,0.008048119,0.436107096,0.426429277,0.446382934,175
5,2,0.436502591,0.423651136,0.446701451,0.371735396,0.362430552,0.382612627,30.5,25.475,34,0.031629396,0.025287658,0.039404083,0.009359829,0.007809174,0.011201287,0.450243674,0.439859162,0.461669179,175
