year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,k,nSNP,maxage,broodsize,maturity,years,r0,ratemort,nSNP.mig,nSNP.cons
0,500,0,0.469133136,0.254984,0.457189014819006,149,0.492,0,0.00325857330861031,1,1,0,NA,NA,500,500,9,2,1,250,1,0.0555555555555556,0,0
1,496,0.00201612903225806,0.469229237122789,0.267129032258065,0.444449860487179,319,0.504032258064516,1,-0.00137045353037883,1,1,27,0.00303504081461286,0.455065122789595,500,500,9,2,1,250,1,0.0555555555555556,0,0
2,498,0.00200803212851406,0.469235580877728,0.279425702811245,0.431359514128272,469,0.508032128514056,1,-0.00128766285476629,1,1,29,0.00304383785064686,0.452882566401381,500,500,9,2,1,250,1,0.0555555555555556,0,0
3,497,0.00201207243460765,0.46886959179625,0.291464788732394,0.418379828045581,465,0.507042253521127,1,-0.00120230331380472,1,1,32,0.00312151365040546,0.450729557227824,500,500,9,2,1,250,1,0.0555555555555556,0,0
4,498,0.00401606425702811,0.468831732552701,0.304421686746988,0.404541546679108,467,0.51004016064257,1,-0.00108429783809936,1,1,31,0.00318146840737619,0.448421826222692,500,500,9,2,1,250,1,0.0555555555555556,0,0
5,496,0.00403225806451613,0.468918928037201,0.316657258064516,0.391723916909669,458,0.5,1,-0.000994240782855753,1,1,38,0.00318136339138059,0.446306474472454,500,500,9,2,1,250,1,0.0555555555555556,0,0
6,497,0.00402414486921529,0.468609455525912,0.328430583501006,0.378948985218509,467,0.498993963782696,1,-0.00087430137470325,1,1,30,0.00323068308334359,0.444177065898669,500,500,9,2,1,250,1,0.0555555555555556,0,0
7,499,0.00601202404809619,0.468368592897217,0.339334669338677,0.367019186445074,472,0.501002004008016,1,-0.000774058753141471,1,1,27,0.0032339469441238,0.442172463477428,500,500,9,2,1,250,1,0.0555555555555556,0,0
8,488,0.00614754098360656,0.468520978903521,0.370049180327869,0.335802502057418,424,0.522540983606557,1,-0.000487441156115742,1,1,64,0.00333995981536838,0.437159471353035,500,500,9,2,1,250,1,0.0555555555555556,0,0
9,464,0.00862068965517241,0.467763293326397,0.421758620689655,0.285316996015909,366,0.497844827586207,1,0.000155320905847913,1,1,98,0.0036267029081576,0.429427968752873,500,500,9,2,1,250,1,0.0555555555555556,0,0
10,448,0.00669642857142857,0.467510433274872,0.468348214285714,0.24130225791077,339,0.495535714285714,1,0.000948438266749043,1,1,109,0.00398588147814088,0.422814651058225,500,500,9,2,1,250,1,0.0555555555555556,0,0
11,489,0.00613496932515337,0.467650750038683,0.468674846625767,0.231016193194988,423,0.513292433537832,1,0.00115572947722905,1,1,66,0.00413808567271924,0.419875947441436,500,500,9,2,1,250,1,0.0555555555555556,0,0
12,498,0.00803212851405622,0.467720133546233,0.467734939759036,0.22997523111492,464,0.516064257028112,1,0.00133405928202423,1,1,34,0.00418085943623148,0.419418237515049,500,500,9,2,1,250,1,0.0555555555555556,0,0
13,497,0.0100603621730382,0.467798068086588,0.467440643863179,0.230582381110164,470,0.523138832997988,1,0.00147223339889489,1,1,26,0.00425916895666445,0.419547917053684,500,500,9,2,1,250,1,0.0555555555555556,0,0
14,497,0.0100603621730382,0.46745505224506,0.467657947686117,0.230070011545661,459,0.529175050301811,1,0.00165553131639084,1,1,38,0.00436762311753307,0.419474361092916,500,500,9,2,1,250,1,0.0555555555555556,0,0
15,498,0.0100401606425703,0.467478298737117,0.467775100401606,0.229733882090289,467,0.542168674698795,1,0.00176567729932373,1,1,31,0.00441326442339732,0.41938627957678,500,500,9,2,1,250,1,0.0555555555555556,0,0
16,498,0.0100401606425703,0.467374989919517,0.467779116465863,0.229644739141491,471,0.550200803212851,1,0.00194136527618477,1,1,27,0.00452642712623526,0.419374951744025,500,500,9,2,1,250,1,0.0555555555555556,0,0
17,491,0.0122199592668024,0.467306647973088,0.467372708757637,0.231643348319471,434,0.517311608961303,1,0.00234154197053792,1,1,56,0.00474345877531377,0.419928075552073,500,500,9,2,1,250,1,0.0555555555555556,0,0
18,477,0.010482180293501,0.467030022546576,0.467278825995807,0.23483352948493,392,0.509433962264151,1,0.00274568100251859,1,1,85,0.0048998224058989,0.420896676128706,500,500,9,2,1,250,1,0.0555555555555556,0,0
19,466,0.0107296137339056,0.466746223912763,0.467480686695279,0.237074967548047,368,0.51931330472103,1,0.00313130258315777,1,1,98,0.00515817512353072,0.421609138963233,500,500,9,2,1,250,1,0.0555555555555556,0,0
