year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,k,nSNP,maxage,broodsize,maturity,years,r0,ratemort,nSNP.mig,nSNP.cons
0,500,0,0.469123292,0.254932,0.453743718874291,134,0.524,0,0.00305408437746972,1,1,0,NA,NA,500,500,9,2,1,250,1,0.0555555555555556,0,0
1,497,0.00201207243460765,0.469069135132728,0.266068410462777,0.445517291935227,306,0.517102615694165,1,-0.00137725864424039,1,1,26,0.00290762653454779,0.452071980546917,500,500,9,2,1,250,1,0.0555555555555556,0,0
2,497,0.00201207243460765,0.468969053759175,0.278458752515091,0.432301600944392,467,0.51307847082495,1,-0.00128202753713162,1,1,30,0.00290333481235204,0.449873033812712,500,500,9,2,1,250,1,0.0555555555555556,0,0
3,498,0.00401606425702811,0.468820208545023,0.290911646586345,0.418946645290598,467,0.512048192771084,1,-0.0011820584170322,1,1,31,0.00296058201016999,0.447646831864111,500,500,9,2,1,250,1,0.0555555555555556,0,0
4,496,0.00604838709677419,0.468928935516389,0.305028225806452,0.40411692334132,454,0.508064516129032,1,-0.00105744614698221,1,1,42,0.00303415968684061,0.445190470869275,500,500,9,2,1,250,1,0.0555555555555556,0,0
5,496,0.00604838709677419,0.46864024291103,0.318870967741935,0.389243681182158,457,0.516129032258065,1,-0.000944601016534125,1,1,39,0.00309818095374653,0.442720695783833,500,500,9,2,1,250,1,0.0555555555555556,0,0
6,497,0.00804828973843058,0.468504969454554,0.329971830985915,0.377291401709644,463,0.525150905432596,1,-0.000834307419283727,1,1,34,0.00318180950554664,0.440725266926904,500,500,9,2,1,250,1,0.0555555555555556,0,0
7,497,0.00804828973843058,0.468534170819687,0.340897384305835,0.365702517783309,472,0.527162977867203,1,-0.000755464042943424,1,1,25,0.00319584590729248,0.43879755469838,500,500,9,2,1,250,1,0.0555555555555556,0,0
8,495,0.0101010101010101,0.468429907152331,0.363515151515152,0.341833692938972,445,0.525252525252525,1,-0.000599157755339053,1,1,50,0.00330166598079602,0.434860708298225,500,500,9,2,1,250,1,0.0555555555555556,0,0
9,465,0.00860215053763441,0.467670449762978,0.415608602150538,0.291427746614296,365,0.47741935483871,1,1.60416971337878e-05,1,1,100,0.0035421511336357,0.427188908926645,500,500,9,2,1,250,1,0.0555555555555556,0,0
10,445,0.00674157303370787,0.466842666330009,0.467339325842697,0.242627401019795,335,0.476404494382022,1,0.000936487072962323,1,1,110,0.00390329593889024,0.419914609861321,500,500,9,2,1,250,1,0.0555555555555556,0,0
11,487,0.0082135523613963,0.466800964712926,0.467203285420945,0.232397558588864,418,0.464065708418891,1,0.00125816964168905,1,1,69,0.00410031890953222,0.416993438425632,500,500,9,2,1,250,1,0.0555555555555556,0,0
12,498,0.0100401606425703,0.466858518410993,0.466995983935743,0.230102334697299,461,0.465863453815261,1,0.00145907746555091,1,1,37,0.00419636951448801,0.416273126622522,500,500,9,2,1,250,1,0.0555555555555556,0,0
13,497,0.00804828973843058,0.466396851936569,0.466607645875251,0.230367454281278,460,0.476861167002012,1,0.00175370507310949,1,1,37,0.00438922966520472,0.416363291921063,500,500,9,2,1,250,1,0.0555555555555556,0,0
14,497,0.00804828973843058,0.466340647506771,0.46625754527163,0.230694268861713,459,0.474849094567404,1,0.00202761108379413,1,1,37,0.00452226873968148,0.416419380324142,500,500,9,2,1,250,1,0.0555555555555556,0,0
15,498,0.00803212851405622,0.466275241528362,0.466132530120482,0.230543658765433,464,0.465863453815261,1,0.00207391272174208,1,1,34,0.00452250481210283,0.416365726952915,500,500,9,2,1,250,1,0.0555555555555556,0,0
16,497,0.00804828973843058,0.466184875854726,0.465818913480885,0.231033770760522,470,0.458752515090543,1,0.00222769899248242,1,1,27,0.004633105797195,0.416480845852152,500,500,9,2,1,250,1,0.0555555555555556,0,0
17,496,0.0100806451612903,0.46571788826743,0.46491935483871,0.231839287469443,452,0.467741935483871,1,0.00251401571753067,1,1,44,0.00474199222657447,0.416660433399085,500,500,9,2,1,250,1,0.0555555555555556,0,0
18,479,0.0125260960334029,0.465356906568573,0.464559498956159,0.235906185596347,399,0.473903966597077,1,0.00292291508028458,1,1,80,0.0049488717587741,0.41785813493331,500,500,9,2,1,250,1,0.0555555555555556,0,0
19,467,0.012847965738758,0.465175561353392,0.464732334047109,0.238477577763112,370,0.488222698072805,1,0.00310166750204084,1,1,96,0.00505226547054804,0.418642507516441,500,500,9,2,1,250,1,0.0555555555555556,0,0
20,480,0.0104166666666667,0.465003498263889,0.463916666666667,0.236058576266129,397,0.49375,1,0.00345065984142118,1,1,83,0.00524456446451407,0.417863884562797,500,500,9,2,1,250,1,0.0555555555555556,0,0
21,494,0.0101214574898785,0.464466472159845,0.463757085020243,0.232513629370836,443,0.504048582995951,1,0.00370636185181526,1,1,51,0.00543142624782017,0.416873988985581,500,500,9,2,1,250,1,0.0555555555555556,0,0
22,496,0.0120967741935484,0.464348192800468,0.463254032258064,0.232491819305709,457,0.493951612903226,1,0.00384882376244818,1,1,38,0.00550542927447073,0.416813299426746,500,500,9,2,1,250,1,0.0555555555555556,0,0
23,497,0.0120724346076459,0.464327870644389,0.463480885311871,0.23200342131351,459,0.496981891348089,1,0.00404073767115064,1,1,38,0.00559783637777528,0.416702609401508,500,500,9,2,1,250,1,0.0555555555555556,0,0
