year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,k,nSNP,maxage,broodsize,maturity,years,r0,ratemort,nSNP.mig,nSNP.cons
100,490,0.008163265,0.457029717,0.456812245,0.240097258,445,0.5,1,0.016608109,1,1,45,0.011256565,0.432816441,500,500,9,2,1,250,1,0.055555556,0,0
150,289,0.01384083,0.453146909,0.451384083,0.302157581,245,0.543252595,1,0.023103784,1,1,43,0.011087832,0.447764792,500,500,9,2,1,250,1,0.055555556,0,0
175,313,0.015974441,0.448538129,0.449226837,0.292635987,251,0.504792332,1,0.030161041,1,1,62,0.014388792,0.445951061,500,500,9,2,1,250,1,0.055555556,0,0
200,373,0.010723861,0.449359702,0.449887399,0.272911349,326,0.536193029,1,0.030488349,1,1,47,0.015553143,0.441553387,500,500,9,2,1,250,1,0.055555556,0,0
250,492,0.010162602,0.446064751,0.443926829,0.244530746,432,0.481707317,1,0.033029862,1,1,60,0.018675799,0.433843419,500,500,9,2,1,250,1,0.055555556,0,0
100,489,0.008179959,0.459127057,0.459676892,0.234851751,438,0.476482618,1,0.01511988,2,1,51,0.011460285,0.421907609,500,500,9,2,1,250,1,0.055555556,0,0
150,293,0.020477816,0.45363734,0.452232082,0.295191096,246,0.518771331,1,0.022026818,2,1,47,0.011546977,0.4363921,500,500,9,2,1,250,1,0.055555556,0,0
175,314,0.00955414,0.449488732,0.450783439,0.286554663,251,0.493630573,1,0.027632966,2,1,63,0.013786184,0.434773699,500,500,9,2,1,250,1,0.055555556,0,0
200,375,0.013333333,0.447810873,0.44704,0.269219918,333,0.493333333,1,0.031564254,2,1,42,0.016151423,0.430791207,500,500,9,2,1,250,1,0.055555556,0,0
250,491,0.010183299,0.446689374,0.444647658,0.240321299,429,0.523421589,1,0.032716469,2,1,62,0.018581407,0.423142401,500,500,9,2,1,250,1,0.055555556,0,0
100,491,0.012219959,0.459845695,0.459397149,0.239371913,444,0.466395112,1,0.014198643,3,1,47,0.010110517,0.429368463,500,500,9,2,1,250,1,0.055555556,0,0
150,297,0.016835017,0.451390788,0.450895623,0.298618153,251,0.494949495,1,0.023947077,3,1,46,0.012238687,0.443815568,500,500,9,2,1,250,1,0.055555556,0,0
175,316,0.009493671,0.443156075,0.444525316,0.292311592,251,0.515822785,1,0.031466712,3,1,65,0.015500699,0.44263039,500,500,9,2,1,250,1,0.055555556,0,0
200,378,0.010582011,0.443439125,0.444031746,0.2728145,334,0.521164021,1,0.031953883,3,1,44,0.016757925,0.438273588,500,500,9,2,1,250,1,0.055555556,0,0
250,490,0.006122449,0.442720183,0.444081633,0.242077657,434,0.506122449,1,0.036791334,3,1,56,0.020539081,0.430406872,500,500,9,2,1,250,1,0.055555556,0,0
100,488,0.010245902,0.453859123,0.451315574,0.239057302,441,0.506147541,1,0.018088388,4,1,46,0.012206944,0.432299438,500,500,9,2,1,250,1,0.055555556,0,0
150,300,0.01,0.448970389,0.450526667,0.290584577,251,0.543333333,1,0.021928152,4,1,49,0.01138988,0.445454814,500,500,9,2,1,250,1,0.055555556,0,0
175,316,0.009493671,0.440752704,0.442,0.287208019,251,0.487341772,1,0.033191441,4,1,65,0.015937146,0.444731984,500,500,9,2,1,250,1,0.055555556,0,0
200,377,0.01061008,0.441025083,0.44271618,0.267273493,330,0.50397878,1,0.033961302,4,1,47,0.017530911,0.440284948,500,500,9,2,1,250,1,0.055555556,0,0
250,493,0.00811359,0.43753114,0.436860041,0.240086717,438,0.480730223,1,0.040057822,4,1,55,0.022777458,0.432865497,500,500,9,2,1,250,1,0.055555556,0,0
100,490,0.008163265,0.457791395,0.456857143,0.234487515,441,0.491836735,1,0.016806593,5,1,49,0.011372968,0.424321059,500,500,9,2,1,250,1,0.055555556,0,0
150,300,0.013333333,0.451199756,0.451613333,0.289278057,251,0.52,1,0.026750352,5,1,49,0.013116114,0.437988919,500,500,9,2,1,250,1,0.055555556,0,0
175,317,0.015772871,0.4467158,0.445488959,0.285833019,251,0.444794953,1,0.028915672,5,1,66,0.014155205,0.437172759,500,500,9,2,1,250,1,0.055555556,0,0
200,375,0.010666667,0.446605888,0.444901333,0.268069425,325,0.498666667,1,0.029857452,5,1,50,0.01522626,0.433153195,500,500,9,2,1,250,1,0.055555556,0,0
250,493,0.010141988,0.442114133,0.439196755,0.239929631,438,0.468559838,1,0.03517065,5,1,55,0.019456932,0.425632985,500,500,9,2,1,250,1,0.055555556,0,0
100,487,0.01026694,0.453428593,0.453100616,0.236437575,440,0.470225873,1,0.016914853,1,2,47,0.011617711,0.421288925,500,500,9,2,1,250,1,0.055555556,0,0
150,128,0.015625,0.441401672,0.438578125,0.370488912,101,0.5078125,1,0.029237934,1,2,27,0.009355144,0.447605251,500,500,9,2,1,250,1,0.055555556,0,0
175,132,0.022727273,0.422586777,0.419606061,0.371502066,101,0.590909091,1,0.053073585,1,2,31,0.014673155,0.447739031,500,500,9,2,1,250,1,0.055555556,0,0
200,257,0.019455253,0.422906812,0.42018677,0.3151685,227,0.490272374,1,0.053320146,1,2,30,0.021327283,0.439047711,500,500,9,2,1,250,1,0.055555556,0,0
250,491,0.012219959,0.427185805,0.426391039,0.242817128,435,0.474541752,1,0.049532245,1,2,56,0.02738063,0.423041456,500,500,9,2,1,250,1,0.055555556,0,0
100,487,0.008213552,0.457544156,0.454989733,0.24740549,441,0.503080082,1,0.01676957,2,2,46,0.011245493,0.423215875,500,500,9,2,1,250,1,0.055555556,0,0
150,124,0.040322581,0.44353603,0.441193548,0.38699539,101,0.475806452,1,0.02846587,2,2,23,0.008964723,0.449782628,500,500,9,2,1,250,1,0.055555556,0,0
175,134,0.014925373,0.431977278,0.433223881,0.381623827,100,0.470149254,1,0.04068776,2,2,33,0.011987578,0.449117541,500,500,9,2,1,250,1,0.055555556,0,0
200,255,0.011764706,0.422794295,0.423254902,0.326274001,219,0.556862745,1,0.052178718,2,2,36,0.020599442,0.44080105,500,500,9,2,1,250,1,0.055555556,0,0
250,490,0.010204082,0.427026297,0.426432653,0.252784751,434,0.487755102,1,0.055301898,2,2,56,0.028840078,0.424932132,500,500,9,2,1,250,1,0.055555556,0,0
100,488,0.012295082,0.455700412,0.452053279,0.234910872,438,0.522540984,1,0.016356504,3,2,50,0.011559172,0.419690251,500,500,9,2,1,250,1,0.055555556,0,0
150,122,0.057377049,0.442958815,0.432377049,0.370288643,99,0.540983607,1,0.026670567,3,2,23,0.008515939,0.446323841,500,500,9,2,1,250,1,0.055555556,0,0
