year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,k,nSNP,maxage,broodsize,maturity,years,r0,ratemort,nSNP.mig,nSNP.cons
0,500,0,0.470242736,0.249928,0.454437226007516,117,0.508,0,0.00309980084635433,1,1,0,NA,NA,500,500,9,2,1,250,1,0.0555555555555556,0,0
1,498,0.00200803212851406,0.470319103724133,0.263449799196787,0.455004084851851,291,0.48995983935743,1,-0.00137213754399763,1,1,28,0.00293920840620059,0.453289242900659,500,500,9,2,1,250,1,0.0555555555555556,0,0
2,499,0.00601202404809619,0.47042137180172,0.27650501002004,0.441195759597602,471,0.496993987975952,0,-0.00127963100655005,1,1,28,0.00296795852545367,0.450982404200145,500,500,9,2,1,250,1,0.0555555555555556,0,0
3,498,0.00803212851405622,0.470381437396171,0.290779116465863,0.426069506731811,461,0.497991967871486,1,-0.00118730252485883,1,1,36,0.00303853997846488,0.448459028832558,500,500,9,2,1,250,1,0.0555555555555556,0,0
4,497,0.0100603621730382,0.470576736070346,0.304140845070423,0.412085092961602,463,0.492957746478873,1,-0.00110411159195366,1,1,34,0.00300960662987786,0.446129115390073,500,500,9,2,1,250,1,0.0555555555555556,0,0
5,497,0.00804828973843058,0.470529551554802,0.319541247484909,0.395748180249809,455,0.494969818913481,1,-0.000953657331040641,1,1,42,0.00308651862689573,0.443404294360113,500,500,9,2,1,250,1,0.0555555555555556,0,0
6,498,0.00602409638554217,0.470187347784713,0.33329718875502,0.380866990151975,456,0.506024096385542,1,-0.00086985646630094,1,1,42,0.00314789651519611,0.440915718781051,500,500,9,2,1,250,1,0.0555555555555556,0,0
7,501,0.00399201596806387,0.469973920422628,0.345165668662675,0.367831156361329,466,0.50499001996008,1,-0.000767114797505671,1,1,35,0.00325601248028996,0.438707409483443,500,500,9,2,1,250,1,0.0555555555555556,0,0
8,496,0.00604838709677419,0.470210669224766,0.366129032258065,0.346317249220183,451,0.497983870967742,1,-0.000634259651783067,1,1,45,0.0032487902288888,0.435179288327402,500,500,9,2,1,250,1,0.0555555555555556,0,0
9,469,0.00639658848614072,0.470173585317397,0.415573560767591,0.298910784214325,380,0.522388059701492,1,-0.00017595241695521,1,1,89,0.00343700749533767,0.427864397250232,500,500,9,2,1,250,1,0.0555555555555556,0,0
10,445,0.0112359550561798,0.468785466481505,0.470498876404494,0.247529008239179,332,0.519101123595506,0,0.00059850489573245,1,1,113,0.00370547438309395,0.420233872821712,500,500,9,2,1,250,1,0.0555555555555556,0,0
11,488,0.0102459016393443,0.46859123471513,0.470405737704918,0.236561122198619,422,0.489754098360656,0,0.000819788399588724,1,1,66,0.00388367037084938,0.417188100998803,500,500,9,2,1,250,1,0.0555555555555556,0,0
12,497,0.0140845070422535,0.468409393989693,0.46948893360161,0.235220873974795,462,0.48692152917505,0,0.00103106929840682,1,1,35,0.00396113516763464,0.416700028251117,500,500,9,2,1,250,1,0.0555555555555556,0,0
13,496,0.0100806451612903,0.467888641389178,0.470322580645161,0.234151135445525,466,0.483870967741935,0,0.00114630172515379,1,1,30,0.00408582742098544,0.416569179468266,500,500,9,2,1,250,1,0.0555555555555556,0,0
