YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset,col,mig
-1,124,1.096774194,1.271445978,1.105263158,1.089552239,0.109677419,1.271445978,1,a,red,0.5
0,458,0.93231441,1.140944508,0.912133891,0.9543379,0.093231441,1.140944508,1,a,red,0.5
1,28,1.571428571,1.730522752,1.333333333,1.75,0.157142857,1.730522752,1,a,red,0.5
2,29,1.586206897,1.476415577,1.470588235,1.75,0.15862069,1.476415577,1,a,red,0.5
3,27,2.037037037,1.786304339,2,2.0625,0.203703704,1.786304339,1,a,red,0.5
4,36,1.638888889,1.914646969,1.95,1.25,0.163888889,1.914646969,1,a,red,0.5
5,42,1.880952381,1.626043844,1.838709677,2,0.188095238,1.626043844,1,a,red,0.5
6,40,2.1,1.277015752,2.35,1.85,0.21,1.277015752,1,a,red,0.5
7,28,2.035714286,1.688351,1.692307692,2.333333333,0.203571429,1.688351,1,a,red,0.5
8,58,2.448275862,2.128935273,2.518518519,2.387096774,0.244827586,2.128935273,1,a,red,0.5
9,95,2.221052632,1.585700378,2.155555556,2.28,0.222105263,1.585700378,1,a,red,0.5
10,108,1.694444444,1.377104733,1.527272727,1.867924528,0.169444444,1.377104733,1,a,red,0.5
11,64,1.6875,1.541747102,1.838709677,1.545454545,0.16875,1.541747102,1,a,red,0.5
12,32,2.25,2.140244183,2.153846154,2.315789474,0.225,2.140244183,1,a,red,0.5
13,30,2.066666667,1.387961376,1.944444444,2.25,0.206666667,1.387961376,1,a,red,0.5
14,39,2.102564103,1.586038955,2.533333333,1.833333333,0.21025641,1.586038955,1,a,red,0.5
15,38,2.263157895,1.719274054,2.25,2.272727273,0.226315789,1.719274054,1,a,red,0.5
16,30,2.566666667,1.869599502,2.052631579,3.454545455,0.256666667,1.869599502,1,a,red,0.5
17,55,2.145454545,1.715055142,2.290322581,1.958333333,0.214545455,1.715055142,1,a,red,0.5
18,79,2.025316456,1.663905535,2.133333333,1.959183673,0.202531646,1.663905535,1,a,red,0.5
19,94,1.553191489,1.258237556,1.535714286,1.578947368,0.155319149,1.258237556,1,a,red,0.5
20,82,1.743902439,1.377159141,1.875,1.619047619,0.174390244,1.377159141,1,a,red,0.5
21,47,1.85106383,1.366982132,1.857142857,1.842105263,0.185106383,1.366982132,1,a,red,0.5
22,33,2.515151515,1.839178011,2.1875,2.823529412,0.251515152,1.839178011,1,a,red,0.5
23,36,2.166666667,1.207121724,2.125,2.2,0.216666667,1.207121724,1,a,red,0.5
24,39,2.282051282,1.431758542,2.083333333,2.6,0.228205128,1.431758542,1,a,red,0.5
25,31,2.419354839,1.628377384,2.0625,2.8,0.241935484,1.628377384,1,a,red,0.5
26,50,1.9,1.343920552,1.964285714,1.818181818,0.19,1.343920552,1,a,red,0.5
27,71,2.112676056,1.793235669,1.625,2.741935484,0.211267606,1.793235669,1,a,red,0.5
28,84,1.845238095,1.275289219,1.906976744,1.780487805,0.18452381,1.275289219,1,a,red,0.5
29,84,1.55952381,1.442481049,1.545454545,1.575,0.155952381,1.442481049,1,a,red,0.5
30,63,1.825396825,1.476041814,2.107142857,1.6,0.182539683,1.476041814,1,a,red,0.5
31,38,2.5,1.224744871,2.421052632,2.578947368,0.25,1.224744871,1,a,red,0.5
32,35,2.142857143,1.331581482,2.263157895,2,0.214285714,1.331581482,1,a,red,0.5
33,37,2.27027027,1.426897346,2.5,2,0.227027027,1.426897346,1,a,red,0.5
34,34,2.411764706,1.437962512,2.428571429,2.4,0.241176471,1.437962512,1,a,red,0.5
35,45,2.333333333,1.58113883,2.263157895,2.384615385,0.233333333,1.58113883,1,a,red,0.5
36,64,1.859375,1.343617334,1.939393939,1.774193548,0.1859375,1.343617334,1,a,red,0.5
37,78,1.794871795,1.444730455,1.842105263,1.75,0.179487179,1.444730455,1,a,red,0.5
38,83,1.951807229,1.644678147,1.744186047,2.175,0.195180723,1.644678147,1,a,red,0.5
39,70,1.857142857,1.534961778,1.878787879,1.837837838,0.185714286,1.534961778,1,a,red,0.5
40,49,1.959183673,1.513263357,2.038461538,1.869565217,0.195918367,1.513263357,1,a,red,0.5
41,34,2.176470588,1.731536159,2.055555556,2.3125,0.217647059,1.731536159,1,a,red,0.5
42,36,2.027777778,1.61220543,2.052631579,2,0.202777778,1.61220543,1,a,red,0.5
43,36,2.333333333,1.723783215,1.647058824,2.947368421,0.233333333,1.723783215,1,a,red,0.5
44,45,1.777777778,1.396243156,1.769230769,1.789473684,0.177777778,1.396243156,1,a,red,0.5
45,57,2.01754386,1.457630514,2.148148148,1.9,0.201754386,1.457630514,1,a,red,0.5
46,72,1.916666667,1.264354202,2.034482759,1.837209302,0.191666667,1.264354202,1,a,red,0.5
47,78,2.128205128,1.630544283,1.916666667,2.466666667,0.212820513,1.630544283,1,a,red,0.5
48,74,1.77027027,1.521960679,1.585365854,2,0.177027027,1.521960679,1,a,red,0.5
49,55,1.8,1.470701521,1.931034483,1.653846154,0.18,1.470701521,1,a,red,0.5
50,40,2.125,1.571990409,2.260869565,1.941176471,0.2125,1.571990409,1,a,red,0.5
51,37,2,1.433720878,1.846153846,2.363636364,0.2,1.433720878,1,a,red,0.5
52,36,2.527777778,1.594384989,2.052631579,3.058823529,0.252777778,1.594384989,1,a,red,0.5
53,43,1.930232558,1.486372203,2.047619048,1.818181818,0.193023256,1.486372203,1,a,red,0.5
54,56,2.053571429,1.393747634,1.833333333,2.307692308,0.205357143,1.393747634,1,a,red,0.5
55,66,1.636363636,1.484653429,1.636363636,1.636363636,0.163636364,1.484653429,1,a,red,0.5
56,73,2.095890411,1.492242752,2.166666667,2.027027027,0.209589041,1.492242752,1,a,red,0.5
57,75,1.786666667,1.318202434,1.5,2.081081081,0.178666667,1.318202434,1,a,red,0.5
58,64,1.984375,1.657040654,1.6,2.448275862,0.1984375,1.657040654,1,a,red,0.5
59,44,2,1.61389317,1.52173913,2.523809524,0.2,1.61389317,1,a,red,0.5
60,37,2.216216216,1.416865381,2.227272727,2.2,0.221621622,1.416865381,1,a,red,0.5
61,39,2,1.297771369,2.368421053,1.65,0.2,1.297771369,1,a,red,0.5
62,39,2.102564103,1.500787018,2.222222222,2,0.21025641,1.500787018,1,a,red,0.5
63,53,1.981132075,1.322738506,2.210526316,1.852941176,0.198113208,1.322738506,1,a,red,0.5
64,61,2.180327869,1.698118535,2,2.366666667,0.218032787,1.698118535,1,a,red,0.5
65,71,1.985915493,1.303763319,1.738095238,2.344827586,0.198591549,1.303763319,1,a,red,0.5
66,74,1.810810811,1.331140984,1.769230769,1.857142857,0.181081081,1.331140984,1,a,red,0.5
67,64,2.203125,1.801055136,2.310344828,2.114285714,0.2203125,1.801055136,1,a,red,0.5
68,51,2.019607843,1.476349499,2.214285714,1.782608696,0.201960784,1.476349499,1,a,red,0.5
69,42,2.047619048,1.57654115,1.777777778,2.533333333,0.204761905,1.57654115,1,a,red,0.5
70,40,2.5,1.739436985,2.611111111,2.409090909,0.25,1.739436985,1,a,red,0.5
71,38,2.184210526,1.467766517,2,2.411764706,0.218421053,1.467766517,1,a,red,0.5
72,51,1.549019608,1.361083767,1.575757576,1.5,0.154901961,1.361083767,1,a,red,0.5
73,59,2.050847458,1.455355494,2.032258065,2.071428571,0.205084746,1.455355494,1,a,red,0.5
74,66,1.909090909,1.355640896,1.756756757,2.103448276,0.190909091,1.355640896,1,a,red,0.5
75,73,2.054794521,1.153381634,2.121212121,2,0.205479452,1.153381634,1,a,red,0.5
76,67,1.671641791,1.551031521,1.96969697,1.382352941,0.167164179,1.551031521,1,a,red,0.5
77,55,1.927272727,1.488903965,1.76,2.066666667,0.192727273,1.488903965,1,a,red,0.5
78,46,2.065217391,1.691838893,2.1875,2,0.206521739,1.691838893,1,a,red,0.5
79,39,2.179487179,1.760260072,2.041666667,2.4,0.217948718,1.760260072,1,a,red,0.5
80,39,1.794871795,1.301405863,1.533333333,1.958333333,0.179487179,1.301405863,1,a,red,0.5
81,49,2.102040816,1.61044634,1.863636364,2.296296296,0.210204082,1.61044634,1,a,red,0.5
82,57,2.245614035,1.939078405,2.225806452,2.269230769,0.224561404,1.939078405,1,a,red,0.5
83,62,1.935483871,1.304104086,1.939393939,1.931034483,0.193548387,1.304104086,1,a,red,0.5
84,71,1.887323944,1.399482514,1.8,1.972222222,0.188732394,1.399482514,1,a,red,0.5
85,67,1.925373134,1.259069315,2.194444444,1.612903226,0.192537313,1.259069315,1,a,red,0.5
86,61,1.803278689,1.423840723,1.848484848,1.75,0.180327869,1.423840723,1,a,red,0.5
87,48,1.833333333,1.35792917,2.136363636,1.576923077,0.183333333,1.35792917,1,a,red,0.5
88,40,2.475,1.467380362,2.55,2.4,0.2475,1.467380362,1,a,red,0.5
89,39,1.923076923,1.264590955,1.681818182,2.235294118,0.192307692,1.264590955,1,a,red,0.5
90,48,2.208333333,1.413586556,2.041666667,2.375,0.220833333,1.413586556,1,a,red,0.5
91,56,1.964285714,1.572077788,2.217391304,1.787878788,0.196428571,1.572077788,1,a,red,0.5
92,58,1.913793103,1.367344497,1.857142857,2,0.19137931,1.367344497,1,a,red,0.5
93,70,1.828571429,1.474138693,2.333333333,1.565217391,0.182857143,1.474138693,1,a,red,0.5
94,67,1.910447761,1.443179815,2.2,1.675675676,0.191044776,1.443179815,1,a,red,0.5
95,60,1.816666667,1.589069301,1.956521739,1.72972973,0.181666667,1.589069301,1,a,red,0.5
96,55,1.890909091,1.369951706,2,1.76,0.189090909,1.369951706,1,a,red,0.5
97,40,2,1.414213562,1.9,2.1,0.2,1.414213562,1,a,red,0.5
98,41,2.195121951,1.676596436,2.1875,2.2,0.219512195,1.676596436,1,a,red,0.5
99,45,1.933333333,1.498484082,2.3125,1.724137931,0.193333333,1.498484082,1,a,red,0.5
100,51,2,1.483239697,2.259259259,1.708333333,0.2,1.483239697,1,a,red,0.5
101,50,1.74,1.382248981,2.125,1.384615385,0.174,1.382248981,1,a,red,0.5
102,59,1.661016949,1.593198577,1.727272727,1.576923077,0.166101695,1.593198577,1,a,red,0.5
103,62,1.758064516,1.410563007,2.12,1.513513514,0.175806452,1.410563007,1,a,red,0.5
104,55,1.963636364,1.677339564,2.043478261,1.90625,0.196363636,1.677339564,1,a,red,0.5
105,48,2.083333333,1.31817626,1.92,2.260869565,0.208333333,1.31817626,1,a,red,0.5
106,35,2.228571429,1.496775245,2.466666667,2.05,0.222857143,1.496775245,1,a,red,0.5
107,35,1.257142857,1.066684174,1.176470588,1.333333333,0.125714286,1.066684174,1,a,red,0.5
108,38,1.473684211,1.37027995,1.238095238,1.764705882,0.147368421,1.37027995,1,a,red,0.5
109,43,1.604651163,1.54518507,1.705882353,1.538461538,0.160465116,1.54518507,1,a,red,0.5
110,41,1.634146341,1.337088209,1.916666667,1.235294118,0.163414634,1.337088209,1,a,red,0.5
111,49,1.918367347,1.754004165,1.72,2.125,0.191836735,1.754004165,1,a,red,0.5
112,56,1.892857143,1.460741672,2.125,1.71875,0.189285714,1.460741672,1,a,red,0.5
113,49,1.632653061,1.253227127,1.545454545,1.703703704,0.163265306,1.253227127,1,a,red,0.5
114,43,2.11627907,1.434428745,1.84,2.5,0.211627907,1.434428745,1,a,red,0.5
115,31,1.806451613,1.424063548,2,1.538461538,0.180645161,1.424063548,1,a,red,0.5
116,29,2.413793103,1.323341047,2.421052632,2.4,0.24137931,1.323341047,1,a,red,0.5
117,32,1.875,1.211503997,1.526315789,2.384615385,0.1875,1.211503997,1,a,red,0.5
118,34,1.735294118,1.5822658,1.368421053,2.2,0.173529412,1.5822658,1,a,red,0.5
119,32,1.21875,1.039055868,1.214285714,1.222222222,0.121875,1.039055868,1,a,red,0.5
120,41,1.731707317,1.342095195,1.85,1.619047619,0.173170732,1.342095195,1,a,red,0.5
121,46,1.717391304,1.833794408,1.65,1.769230769,0.17173913,1.833794408,1,a,red,0.5
122,44,2.022727273,1.606507643,1.608695652,2.476190476,0.202272727,1.606507643,1,a,red,0.5
123,41,1.536585366,1.051131794,1.555555556,1.5,0.153658537,1.051131794,1,a,red,0.5
124,25,2.16,1.280624847,1.714285714,2.727272727,0.216,1.280624847,1,a,red,0.5
125,20,1.6,1.635140425,1.846153846,1.142857143,0.16,1.635140425,1,a,red,0.5
126,22,1.318181818,1.041352767,1.125,1.428571429,0.131818182,1.041352767,1,a,red,0.5
127,28,1.571428571,1.372442306,1.5625,1.583333333,0.157142857,1.372442306,1,a,red,0.5
128,26,1.846153846,1.255143265,1.727272727,1.933333333,0.184615385,1.255143265,1,a,red,0.5
129,31,1.774193548,1.3591585,1.8,1.75,0.177419355,1.3591585,1,a,red,0.5
130,37,2.027027027,0.957034961,2.041666667,2,0.202702703,0.957034961,1,a,red,0.5
131,35,1.685714286,1.157365888,1.466666667,1.85,0.168571429,1.157365888,1,a,red,0.5
132,36,1.75,1.130739328,1.8,1.714285714,0.175,1.130739328,1,a,red,0.5
133,20,1.25,1.069923755,1.111111111,1.363636364,0.125,1.069923755,1,a,red,0.5
134,13,1.692307692,1.652503928,1.5,1.857142857,0.169230769,1.652503928,1,a,red,0.5
135,12,1.5,1.930614598,2,1.142857143,0.15,1.930614598,1,a,red,0.5
136,20,1.6,1.353358396,1.769230769,1.285714286,0.16,1.353358396,1,a,red,0.5
137,20,1.45,1.431782106,0.857142857,1.769230769,0.145,1.431782106,1,a,red,0.5
138,21,1.904761905,1.374945886,2.428571429,0.857142857,0.19047619,1.374945886,1,a,red,0.5
139,27,1.555555556,1.250640861,1.266666667,1.916666667,0.155555556,1.250640861,1,a,red,0.5
140,27,1.074074074,1.174273128,0.833333333,1.266666667,0.107407407,1.174273128,1,a,red,0.5
