YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset,col,mig
-1,239,1.050209205,1.187111262,1.181818182,0.915254237,0.105020921,1.187111262,1,c,purple,1
0,460,0.897826087,1.130097096,0.891402715,0.90376569,0.089782609,1.130097096,1,c,purple,1
1,25,1.12,0.8326664,1.125,1.111111111,0.112,0.8326664,1,c,purple,1
2,28,1.75,1.838376901,2.066666667,1.384615385,0.175,1.838376901,1,c,purple,1
3,33,2.242424242,1.936980624,1.705882353,2.8125,0.224242424,1.936980624,1,c,purple,1
4,35,2.028571429,1.339133045,1.933333333,2.1,0.202857143,1.339133045,1,c,purple,1
5,37,1.702702703,1.664412891,1.555555556,1.842105263,0.17027027,1.664412891,1,c,purple,1
6,33,2.666666667,1.848422751,3.333333333,2.111111111,0.266666667,1.848422751,1,c,purple,1
7,32,2.09375,1.710675682,1.869565217,2.666666667,0.209375,1.710675682,1,c,purple,1
8,52,2.269230769,1.816216544,2.481481481,2.04,0.226923077,1.816216544,1,c,purple,1
9,98,2.06122449,1.591318759,2,2.117647059,0.206122449,1.591318759,1,c,purple,1
10,110,1.654545455,1.316349997,1.84,1.5,0.165454545,1.316349997,1,c,purple,1
11,65,2.061538462,1.666554483,2.206896552,1.944444444,0.206153846,1.666554483,1,c,purple,1
12,37,2.027027027,1.536346432,2.421052632,1.611111111,0.202702703,1.536346432,1,c,purple,1
13,35,2,1.608799333,2.157894737,1.8125,0.2,1.608799333,1,c,purple,1
14,37,2.324324324,1.886414207,2.888888889,1.789473684,0.232432432,1.886414207,1,c,purple,1
15,31,2.35483871,1.723337597,2.444444444,2.318181818,0.235483871,1.723337597,1,c,purple,1
16,33,1.96969697,1.489229005,2.25,1.80952381,0.196969697,1.489229005,1,c,purple,1
17,49,2.163265306,1.57251045,2.142857143,2.178571429,0.216326531,1.57251045,1,c,purple,1
18,82,1.682926829,1.554587387,1.897435897,1.488372093,0.168292683,1.554587387,1,c,purple,1
19,95,1.757894737,1.342558604,1.818181818,1.705882353,0.175789474,1.342558604,1,c,purple,1
20,79,1.936708861,1.408233774,2.045454545,1.8,0.193670886,1.408233774,1,c,purple,1
21,49,1.979591837,1.574401949,1.642857143,2.428571429,0.197959184,1.574401949,1,c,purple,1
22,38,2.236842105,1.532251665,2.363636364,2.0625,0.223684211,1.532251665,1,c,purple,1
23,36,1.694444444,1.369451286,1.857142857,1.466666667,0.169444444,1.369451286,1,c,purple,1
24,32,2.25,1.586231078,1.692307692,2.631578947,0.225,1.586231078,1,c,purple,1
25,32,2.15625,1.868402371,2,2.294117647,0.215625,1.868402371,1,c,purple,1
26,48,1.916666667,1.396550969,2.090909091,1.769230769,0.191666667,1.396550969,1,c,purple,1
27,72,1.902777778,1.223706241,1.947368421,1.852941176,0.190277778,1.223706241,1,c,purple,1
28,86,1.802325581,1.485773852,1.736842105,1.854166667,0.180232558,1.485773852,1,c,purple,1
29,83,1.843373494,1.163278878,1.842105263,1.844444444,0.184337349,1.163278878,1,c,purple,1
30,62,2.048387097,1.407560608,2.088235294,2,0.20483871,1.407560608,1,c,purple,1
31,41,2.390243902,1.62600813,2.523809524,2.25,0.23902439,1.62600813,1,c,purple,1
32,38,2.394736842,1.32623168,2.631578947,2.157894737,0.239473684,1.32623168,1,c,purple,1
33,32,2.125,1.431218745,1.769230769,2.368421053,0.2125,1.431218745,1,c,purple,1
34,31,2.548387097,1.689944963,2.444444444,2.692307692,0.25483871,1.689944963,1,c,purple,1
35,45,2.066666667,1.420627262,2.217391304,1.909090909,0.206666667,1.420627262,1,c,purple,1
36,66,1.818181818,1.40229582,1.625,2,0.181818182,1.40229582,1,c,purple,1
37,77,1.844155844,1.338350665,1.860465116,1.823529412,0.184415584,1.338350665,1,c,purple,1
38,82,1.780487805,1.276805333,1.714285714,1.85,0.17804878,1.276805333,1,c,purple,1
39,68,1.955882353,1.408225554,2.066666667,1.868421053,0.195588235,1.408225554,1,c,purple,1
40,50,2.06,1.391079452,1.916666667,2.192307692,0.206,1.391079452,1,c,purple,1
41,38,2.105263158,1.623967009,2.125,2.090909091,0.210526316,1.623967009,1,c,purple,1
42,32,2.15625,1.393750452,2,2.416666667,0.215625,1.393750452,1,c,purple,1
43,36,2.222222222,1.416456567,1.866666667,2.476190476,0.222222222,1.416456567,1,c,purple,1
44,43,2.395348837,1.575701429,2.52,2.222222222,0.239534884,1.575701429,1,c,purple,1
45,59,1.847457627,1.584554319,1.75,1.935483871,0.184745763,1.584554319,1,c,purple,1
46,72,1.819444444,1.550341979,1.974358974,1.636363636,0.181944444,1.550341979,1,c,purple,1
47,82,1.804878049,1.318800656,1.75,1.847826087,0.180487805,1.318800656,1,c,purple,1
48,70,1.728571429,1.361174137,1.736842105,1.71875,0.172857143,1.361174137,1,c,purple,1
49,57,2.122807018,1.415099384,2.357142857,1.896551724,0.212280702,1.415099384,1,c,purple,1
50,43,1.930232558,1.386934764,1.96,1.888888889,0.193023256,1.386934764,1,c,purple,1
51,33,2.272727273,1.644550229,2.2,2.333333333,0.227272727,1.644550229,1,c,purple,1
52,36,2.305555556,1.508441854,2.277777778,2.333333333,0.230555556,1.508441854,1,c,purple,1
53,39,2.128205128,1.196034834,2.3125,2,0.212820513,1.196034834,1,c,purple,1
