year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,k,nSNP,maxage,broodsize,maturity,years,r0,ratemort,nSNP.mig,nSNP.cons
0,500,0,0.470050904,0.250744,0.470152576846656,137,0.504,0,0.00294636926301232,1,1,0,NA,NA,500,500,9,2,1,250,1,0.0555555555555556,0,0
1,498,0.00200803212851406,0.469859961936098,0.262995983935743,0.454239036423703,302,0.502008032128514,1,-0.00137708166024735,1,1,28,0.00282553747854701,0.46773984215428,500,500,9,2,1,250,1,0.0555555555555556,0,0
2,498,0.00200803212851406,0.469565660231287,0.275212851405623,0.441104078597322,470,0.502008032128514,1,-0.00128029563942781,1,1,28,0.00287196247725062,0.465556423492332,500,500,9,2,1,250,1,0.0555555555555556,0,0
3,497,0.00402414486921529,0.469591897461226,0.288808853118712,0.426733678298196,461,0.501006036217304,1,-0.00118880280570371,1,1,36,0.0029022849800929,0.463172791148021,500,500,9,2,1,250,1,0.0555555555555556,0,0
4,496,0.00403225806451613,0.469606387389438,0.301883064516129,0.412938130294761,465,0.495967741935484,1,-0.001056056668536,1,1,31,0.00293951527140798,0.460888633281793,500,500,9,2,1,250,1,0.0555555555555556,0,0
5,497,0.00402414486921529,0.46967695104227,0.314897384305835,0.399130131644733,462,0.501006036217304,1,-0.000934712644128549,1,1,34,0.00304406276806057,0.458585855516287,500,500,9,2,1,250,1,0.0555555555555556,0,0
6,496,0.00604838709677419,0.469642661452914,0.326641129032258,0.386740675511391,468,0.487903225806452,1,-0.000824488875559512,1,1,28,0.00309185461047356,0.45653944601681,500,500,9,2,1,250,1,0.0555555555555556,0,0
7,499,0.00801603206412826,0.469532299067072,0.33838877755511,0.373940918793639,471,0.496993987975952,1,-0.000749299448076802,1,1,28,0.00312964472732894,0.454376132255736,500,500,9,2,1,250,1,0.0555555555555556,0,0
8,494,0.00607287449392713,0.469118830828238,0.362910931174089,0.348208564519591,441,0.506072874493927,1,-0.000470809911639546,1,1,53,0.00326527477309426,0.45018673536972,500,500,9,2,1,250,1,0.0555555555555556,0,0
9,468,0.00427350427350427,0.468371005004018,0.414047008547009,0.298322872245395,374,0.519230769230769,1,0.000133530817512145,1,1,94,0.00353215172609356,0.442566276141567,500,500,9,2,1,250,1,0.0555555555555556,0,0
10,441,0.00680272108843537,0.467500017996617,0.468312925170068,0.248724264974197,327,0.482993197278912,1,0.00110946854837715,1,1,114,0.00401616620271876,0.435403768656642,500,500,9,2,1,250,1,0.0555555555555556,0,0
11,487,0.0082135523613963,0.467334605281466,0.467437371663244,0.23787723353731,416,0.486652977412731,1,0.00139790719978405,1,1,71,0.00423544890732612,0.432200570057584,500,500,9,2,1,250,1,0.0555555555555556,0,0
12,497,0.0100603621730382,0.467288863968519,0.466957746478873,0.235969807640131,454,0.484909456740443,1,0.00154274307408087,1,1,43,0.00433531169680264,0.431564028320791,500,500,9,2,1,250,1,0.0555555555555556,0,0
13,500,0.01,0.467391388,0.46666,0.23566758909474,470,0.48,1,0.00164865647654714,1,1,30,0.00436504068165523,0.431413078283751,500,500,9,2,1,250,1,0.0555555555555556,0,0
14,497,0.0100603621730382,0.466977741701719,0.465959758551308,0.236778035810909,466,0.476861167002012,1,0.00180834491695083,1,1,31,0.00445033623555069,0.431708714797274,500,500,9,2,1,250,1,0.0555555555555556,0,0
15,498,0.0100401606425703,0.466723375429429,0.465502008032128,0.236824232409598,469,0.48995983935743,1,0.00204914720508641,1,1,29,0.0045800482398925,0.431692890871964,500,500,9,2,1,250,1,0.0555555555555556,0,0
16,498,0.0120481927710843,0.467013334462347,0.464839357429719,0.23776548919257,470,0.477911646586345,1,0.00208473109005403,1,1,27,0.00455705474938422,0.431838977630601,500,500,9,2,1,250,1,0.0555555555555556,0,0
