param,mig,HO,HOLL,HOUL,Fis,FisLL,FisUL,numboff,numboffLL,numboffUL,FST,FSTLL,FSTUL,fstsource,fstsourceLL,fstsourceUL,fissource,fissourceLL,fissourceUL,year
1,1,0.45516804,0.450528234,0.458671984,0.237516291,0.230965652,0.242635233,48.85,44,52,0.01673552,0.014290173,0.019552806,0.011328079,0.009952308,0.012822887,0.424227184,0.411714925,0.435232264,100
3,2,0.455803028,0.451095931,0.461180386,0.239175318,0.23151243,0.24620559,48.2,44,53.525,0.014187851,0.0123118,0.016980522,0.009457456,0.008200684,0.011110303,0.424050642,0.41228361,0.436255827,100
4,5,0.454237158,0.449537927,0.458473859,0.244284342,0.236961405,0.252934564,47.39,41,54,0.009636722,0.007781203,0.011479318,0.006032093,0.005144851,0.006994836,0.424087718,0.414853813,0.433946494,100
1,1,0.44888363,0.443499482,0.454382838,0.296199497,0.288476275,0.302742448,44.63,38.95,51.05,0.023853204,0.020350311,0.027924625,0.011843022,0.010328651,0.013526188,0.438419744,0.424810545,0.449486476,150
3,2,0.449811859,0.444224432,0.455789436,0.298146089,0.288835754,0.306652524,45.19,39.475,51.525,0.018438539,0.016071786,0.021649742,0.009202018,0.007963951,0.010760878,0.438207616,0.426085125,0.450811189,150
4,5,0.447718953,0.441030189,0.452501861,0.302402871,0.291985845,0.313695008,45.91,38,55,0.010966759,0.009227534,0.013133869,0.005425143,0.004739511,0.006247173,0.437955022,0.428616769,0.448061821,150
1,1,0.443564284,0.437043889,0.45026875,0.290143366,0.283099046,0.297854975,61.28,53,67.525,0.031656696,0.025775927,0.037147379,0.015182973,0.012611689,0.017375825,0.437270681,0.4239177,0.448158898,175
3,2,0.448198644,0.441137124,0.455387548,0.290457731,0.280820877,0.299758262,61.56,56,68,0.023847171,0.020198193,0.02917122,0.011408852,0.009695486,0.013663517,0.436793091,0.424265341,0.449811742,175
4,5,0.45079198,0.444841076,0.456257225,0.291935908,0.280651935,0.301748803,62.03,53.475,71,0.014431505,0.011877529,0.017973089,0.006833457,0.005892395,0.008048119,0.436107096,0.426429277,0.446382934,175
1,1,0.437867458,0.430073518,0.446065,0.291884606,0.284254465,0.298301321,60.77,53,66.525,0.0381398,0.031970478,0.044617796,0.017611531,0.015127179,0.020423271,0.437611572,0.424342144,0.448963337,200
3,2,0.444566112,0.436920224,0.451919124,0.291537121,0.281860946,0.299296429,61.23,54,68,0.02789205,0.022710837,0.032996544,0.012881035,0.010863276,0.015385603,0.437009081,0.425122796,0.449797683,200
4,5,0.449560588,0.444103578,0.45546365,0.291953552,0.282980559,0.303292909,61.77,51.475,69.525,0.016196287,0.012974382,0.019688401,0.007476853,0.006219404,0.008839956,0.436147517,0.426835767,0.446393789,200
1,1,0.436953163,0.42924521,0.445476119,0.241122854,0.235350003,0.24718868,45,40,50.525,0.039661292,0.033288743,0.048009186,0.0220231,0.018973766,0.02628911,0.425239237,0.412554146,0.43622672,250
3,2,0.445725349,0.439153155,0.451293649,0.240754655,0.233307099,0.248059589,43.63,38,49.525,0.026884607,0.021017983,0.032708929,0.014720823,0.011999455,0.017998592,0.424466137,0.412393486,0.436804201,250
4,5,0.452079534,0.446464627,0.456263933,0.24350356,0.23645409,0.253009919,41.91,32.95,49,0.013334333,0.01119127,0.01562432,0.00699017,0.005864706,0.008049353,0.423874569,0.414910256,0.43339665,250
2,0,0.45287829213,0.447452271825,0.4578326194,0.2365192905,0.23062904425,0.243673933825,NA,NA,NA,0.02056907087,0.01797227885,0.023540851425,NA,NA,NA,NA,NA,NA,100
6,0.5,0.45384208539,0.4482102042,0.460671343875,0.23637861877,0.229440403875,0.243238276575,NA,NA,NA,0.01847843708,0.015995264675,0.02114139635,NA,NA,NA,NA,NA,NA,100
2,0,0.44274894963,0.437494542125,0.449874131375,0.29669402047,0.288485047225,0.305676911175,NA,NA,NA,0.03305490818,0.029058540275,0.03827428235,NA,NA,NA,NA,NA,NA,150
6,0.5,0.44534226527,0.4389862518,0.450588013425,0.29601096846,0.2881628954,0.30509598065,NA,NA,NA,0.02807826545,0.02420033315,0.032015482275,NA,NA,NA,NA,NA,NA,150
2,0,0.43218456384,0.423250850475,0.440435649775,0.29262802403,0.283980839575,0.300832706275,NA,NA,NA,0.04515624284,0.040202428675,0.051028420225,NA,NA,NA,NA,NA,NA,175
6,0.5,0.43787605106,0.431484016875,0.4454348649,0.29090292124,0.281808172725,0.300298004475,NA,NA,NA,0.03721695162,0.032537485675,0.04217885665,NA,NA,NA,NA,NA,NA,175
2,0,0.42223314148,0.4129979432,0.43208486595,0.29509525991,0.28687733425,0.303569450075,NA,NA,NA,0.05655391367,0.049815464575,0.064348017425,NA,NA,NA,NA,NA,NA,200
6,0.5,0.43141346768,0.423931434175,0.439290862675,0.29260528119,0.2840124743,0.301036780175,NA,NA,NA,0.04517121865,0.03904432035,0.051871770975,NA,NA,NA,NA,NA,NA,200
2,0,0.41211898331,0.4027898798,0.42030229455,0.24626941991,0.239414375475,0.25514949375,NA,NA,NA,0.06808393008,0.059806142775,0.075735584175,NA,NA,NA,NA,NA,NA,250
6,0.5,0.42731473368,0.418703151525,0.437184842325,0.24218146267,0.23514857875,0.250819696275,NA,NA,NA,0.05022942217,0.043605430325,0.05824103975,NA,NA,NA,NA,NA,NA,250
