year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,k,nSNP,maxage,broodsize,maturity,years,r0,ratemort,nSNP.mig,nSNP.cons
0,500,0,0.467501924,0.26126,0.464589588,128,0.48,0,0.003097716,1,4b,0,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
1,499,0.01002004,0.467565773,0.272124248,0.430405191,288,0.472945892,5,-0.001353244,1,4b,25,0.002896971,0.460798826,500,500,9,2,1,250,1,0.055555556,0,0
2,500,0.018,0.46742474,0.283756,0.417876015,471,0.48,5,-0.00124907,1,4b,28,0.002905665,0.458715472,500,500,9,2,1,250,1,0.055555556,0,0
3,498,0.022088353,0.467411376,0.292943775,0.408118042,475,0.481927711,5,-0.001153431,1,4b,22,0.002952196,0.457112633,500,500,9,2,1,250,1,0.055555556,0,0
4,497,0.028169014,0.467454461,0.303400402,0.397038755,467,0.478873239,5,-0.001079082,1,4b,30,0.002959364,0.455286513,500,500,9,2,1,250,1,0.055555556,0,0
5,497,0.034205231,0.467613925,0.313698189,0.386170773,464,0.480885312,5,-0.000977223,1,4b,32,0.002973179,0.453485747,500,500,9,2,1,250,1,0.055555556,0,0
6,499,0.04008016,0.467682166,0.323458918,0.37568264,468,0.490981964,5,-0.000860036,1,4b,30,0.002999451,0.451723391,500,500,9,2,1,250,1,0.055555556,0,0
7,499,0.048096192,0.467615769,0.332801603,0.36566481,467,0.51503006,5,-0.000736154,1,4b,31,0.003006018,0.450063209,500,500,9,2,1,250,1,0.055555556,0,0
8,494,0.048582996,0.46723274,0.35548583,0.341690956,439,0.518218623,5,-0.000456123,1,4b,54,0.003115472,0.446181892,500,500,9,2,1,250,1,0.055555556,0,0
9,474,0.054852321,0.466814457,0.397160338,0.300123876,386,0.535864979,5,-2.24E-06,1,4b,87,0.003241655,0.439794599,500,500,9,2,1,250,1,0.055555556,0,0
10,437,0.054919908,0.465673596,0.454091533,0.248417791,321,0.526315789,5,0.000962243,1,4b,115,0.00357022,0.432574162,500,500,9,2,1,250,1,0.055555556,0,0
11,487,0.051334702,0.465480813,0.455149897,0.235846578,419,0.523613963,5,0.001200461,1,4b,68,0.003666881,0.428996577,500,500,9,2,1,250,1,0.055555556,0,0
12,498,0.054216867,0.465371986,0.4537751,0.234878635,463,0.532128514,5,0.001321846,1,4b,35,0.003685487,0.428489288,500,500,9,2,1,250,1,0.055555556,0,0
13,497,0.056338028,0.465333591,0.453758551,0.235074915,473,0.535211268,5,0.001428099,1,4b,24,0.00369694,0.428555006,500,500,9,2,1,250,1,0.055555556,0,0
