year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,k,nSNP,maxage,broodsize,maturity,years,r0,ratemort,nSNP.mig,nSNP.cons
0,500,0,0.469715664,0.2518,0.461946462,139,0.492,0.5,0.003071511,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
1,499,0.002004008,0.469723624,0.263887776,0.451879181,304,0.49498998,0.5,-0.001376166,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
2,497,0,0.469485007,0.276418511,0.438477793,467,0.490945674,0.5,-0.001279308,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
3,498,0.002008032,0.469391244,0.289518072,0.424485573,464,0.5,0.5,-0.001156523,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
4,496,0.002016129,0.469282132,0.303915323,0.409243546,455,0.5,0.5,-0.001027413,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
5,497,0.004024145,0.469101446,0.317090543,0.395092835,462,0.501006036,0.5,-0.000919862,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
6,495,0.004040404,0.468892872,0.330206061,0.381209402,455,0.498989899,0.5,-0.000784658,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
7,497,0.004024145,0.468570218,0.341637827,0.368688122,469,0.496981891,0.5,-0.000640866,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
8,490,0.004081633,0.468477984,0.369126531,0.340334357,430,0.491836735,0.5,-0.000391971,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
9,466,0.004291845,0.467858539,0.41851073,0.292314238,374,0.482832618,0.5,0.000178742,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
10,450,0.004444444,0.467269447,0.466733333,0.246310106,340,0.462222222,0.5,0.000870824,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
11,488,0.006147541,0.467236382,0.466315574,0.237323738,425,0.467213115,0.5,0.00099246,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
12,497,0.004024145,0.466995919,0.466837022,0.234455168,458,0.456740443,0.5,0.001181143,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
13,497,0.004024145,0.466986818,0.466820926,0.234464871,461,0.456740443,0.5,0.001307596,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
14,498,0.004016064,0.466806072,0.466678715,0.234234949,465,0.447791165,0.5,0.001350868,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
15,498,0.006024096,0.466779939,0.466032129,0.234902327,460,0.46184739,0.5,0.001439764,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
16,497,0.006036217,0.466754632,0.466507042,0.234609502,470,0.46277666,0.5,0.001505358,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
17,494,0.008097166,0.466555086,0.466206478,0.235470225,440,0.465587045,0.5,0.00163661,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
18,480,0.004166667,0.466179609,0.466416667,0.238291068,402,0.458333333,0.5,0.002234725,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
19,467,0.006423983,0.465656833,0.466394004,0.241101006,371,0.462526767,0.5,0.002674073,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
20,479,0.004175365,0.465261889,0.466058455,0.238176745,403,0.463465553,0.5,0.00303697,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
21,494,0.004048583,0.465029774,0.465870445,0.234586422,440,0.473684211,0.5,0.003116145,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
22,496,0.004032258,0.464862582,0.466157258,0.23367226,458,0.47983871,0.5,0.003338645,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
23,497,0.006036217,0.464989037,0.465726358,0.233999296,464,0.494969819,0.5,0.003480913,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
24,497,0.004024145,0.464707707,0.465963783,0.233515995,458,0.480885312,0.5,0.003744687,1,5c,NA,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
