year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,k,nSNP,maxage,broodsize,maturity,years,r0,ratemort,nSNP.mig,nSNP.cons
0,500,0,0.469230308,0.254276,0.456052967,144,0.432,0,0.003467385,1,8,0,NA,NA,500,500,9,2,1,250,1,0.055555556,0,0
1,499,0.004008016,0.468825077,0.266368737,0.445790796,285,0.436873747,0,-0.001370768,1,8,28,0.003307475,0.454106774,500,500,9,2,1,250,1,0.055555556,0,0
2,499,0.008016032,0.46858399,0.278725451,0.432497074,471,0.438877756,0,-0.001283287,1,8,28,0.003321125,0.451893172,500,500,9,2,1,250,1,0.055555556,0,0
3,497,0.00804829,0.468609156,0.290547284,0.420010298,465,0.432595573,0,-0.001197981,1,8,32,0.003334272,0.449823421,500,500,9,2,1,250,1,0.055555556,0,0
4,497,0.006036217,0.468418892,0.30305835,0.406601088,466,0.440643863,0,-0.001118829,1,8,31,0.003384048,0.447595385,500,500,9,2,1,250,1,0.055555556,0,0
5,496,0.010080645,0.468617492,0.316689516,0.392315515,458,0.439516129,0,-0.001002048,1,8,37,0.003421591,0.445227642,500,500,9,2,1,250,1,0.055555556,0,0
6,499,0.012024048,0.468714387,0.329014028,0.379057416,465,0.440881764,0,-0.000917979,1,8,33,0.003419208,0.44299222,500,500,9,2,1,250,1,0.055555556,0,0
7,499,0.016032064,0.468677439,0.340044088,0.367293233,474,0.448897796,0,-0.000795995,1,8,24,0.003478955,0.44103348,500,500,9,2,1,250,1,0.055555556,0,0
8,493,0.020283976,0.469042267,0.361963489,0.344917559,446,0.470588235,0,-0.000602551,1,8,46,0.003512042,0.437393661,500,500,9,2,1,250,1,0.055555556,0,0
9,474,0.025316456,0.468607568,0.405130802,0.3021266,387,0.470464135,0,-0.000178836,1,8,86,0.003675041,0.430718394,500,500,9,2,1,250,1,0.055555556,0,0
10,434,0.029953917,0.467887957,0.464645161,0.249782612,319,0.504608295,0,0.000825659,1,8,115,0.004037505,0.423365738,500,500,9,2,1,250,1,0.055555556,0,0
11,484,0.018595041,0.467857967,0.466438017,0.235561308,409,0.5,1,0.000968385,1,8,75,0.004212515,0.41958394,500,500,9,2,1,250,1,0.055555556,0,0
12,496,0.018145161,0.467890162,0.466306452,0.232931223,453,0.514112903,0,0.001141784,1,8,43,0.00430534,0.418779179,500,500,9,2,1,250,1,0.055555556,0,0
13,498,0.020080321,0.467854107,0.466,0.232768802,468,0.504016064,0,0.001291202,1,8,30,0.004348574,0.418691574,500,500,9,2,1,250,1,0.055555556,0,0
14,497,0.016096579,0.467595999,0.466438632,0.232320427,460,0.505030181,1,0.001376936,1,8,37,0.004458628,0.418656544,500,500,9,2,1,250,1,0.055555556,0,0
15,496,0.014112903,0.467610619,0.467048387,0.231914682,463,0.512096774,0,0.001530353,1,8,33,0.004533056,0.418619713,500,500,9,2,1,250,1,0.055555556,0,0
16,497,0.016096579,0.467590375,0.465919517,0.232868026,471,0.509054326,0,0.001540988,1,8,26,0.004503718,0.418747661,500,500,9,2,1,250,1,0.055555556,0,0
17,494,0.01417004,0.467026082,0.465574899,0.233464707,450,0.510121457,1,0.001776337,1,8,44,0.004652052,0.41895767,500,500,9,2,1,250,1,0.055555556,0,0
18,485,0.010309278,0.466732664,0.466865979,0.233969622,407,0.517525773,1,0.002109542,1,8,78,0.004837498,0.419327737,500,500,9,2,1,250,1,0.055555556,0,0
19,468,0.012820513,0.466612033,0.465846154,0.239028406,372,0.506410256,0,0.002315523,1,8,96,0.004919541,0.420675708,500,500,9,2,1,250,1,0.055555556,0,0
20,477,0.012578616,0.466391787,0.4660587,0.23645167,392,0.503144654,0,0.002725626,1,8,84,0.005152989,0.419990201,500,500,9,2,1,250,1,0.055555556,0,0
21,491,0.00814664,0.466161925,0.466439919,0.232542556,432,0.49898167,1,0.002910455,1,8,59,0.005317204,0.418926103,500,500,9,2,1,250,1,0.055555556,0,0
22,497,0.006036217,0.466280735,0.466800805,0.230857757,460,0.507042254,1,0.00295317,1,8,37,0.005343286,0.418457419,500,500,9,2,1,250,1,0.055555556,0,0
23,497,0.00804829,0.466244076,0.466981891,0.230634781,461,0.513078471,0,0.003040044,1,8,36,0.005318703,0.418421657,500,500,9,2,1,250,1,0.055555556,0,0
24,498,0.012048193,0.466247625,0.466176707,0.231264454,465,0.510040161,0,0.003044816,1,8,32,0.005311047,0.418494941,500,500,9,2,1,250,1,0.055555556,0,0
25,499,0.014028056,0.466181658,0.465863727,0.231313834,473,0.519038076,0,0.003161936,1,8,26,0.005376763,0.418474321,500,500,9,2,1,250,1,0.055555556,0,0
26,496,0.014112903,0.466222103,0.465850806,0.232052774,455,0.516129032,1,0.003202803,1,8,41,0.005386654,0.418688497,500,500,9,2,1,250,1,0.055555556,0,0
27,487,0.016427105,0.466099452,0.465564682,0.234356218,418,0.525667351,1,0.003426842,1,8,68,0.005475026,0.419350138,500,500,9,2,1,250,1,0.055555556,0,0
28,478,0.018828452,0.465942342,0.46441841,0.237565993,392,0.506276151,0,0.003633517,1,8,86,0.005565257,0.420155627,500,500,9,2,1,250,1,0.055555556,0,0
