YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset
-1,46,1.02173913043478,1.18301179546637,1.2,0.80952380952381,0.0785953177257525,1.18301179546637,1,1
0,453,0.737306843267108,1.13836895657894,0.799065420560748,0.682008368200837,0.0567159110205468,1.13836895657894,1,1
1,4,0,0,0,0,0,0,1,1
2,51,0.843137254901961,1.10222591186395,0.923076923076923,0.76,0.0648567119155355,1.10222591186395,1,1
3,70,1.1,1.32040836897892,1.20588235294118,1,0.0846153846153846,1.32040836897892,1,1
4,86,1.45348837209302,1.48448427760332,1.425,1.47826086956522,0.111806797853309,1.48448427760332,1,1
5,91,1.34065934065934,1.50716643790614,1.54761904761905,1.16326530612245,0.10312764158918,1.50716643790614,1,1
6,85,1.28235294117647,1.58573825908645,1.02325581395349,1.54761904761905,0.0986425339366516,1.58573825908645,1,1
7,97,1.21649484536082,1.40850692315562,1.20512820512821,1.22413793103448,0.0935765265662173,1.40850692315562,1,1
8,91,1.26373626373626,1.35675400894246,1.22448979591837,1.30952380952381,0.0972104818258664,1.35675400894246,1,1
9,84,1.19047619047619,1.52470570319455,0.976744186046512,1.41463414634146,0.0915750915750916,1.52470570319455,1,1
10,87,1.4367816091954,1.76991097808775,1.24489795918367,1.68421052631579,0.1105216622458,1.76991097808775,1,1
11,91,1.31868131868132,1.62534865236916,1.26086956521739,1.37777777777778,0.101437024513948,1.62534865236916,1,1
12,86,1.32558139534884,1.43438333103661,1.56521739130435,1.05,0.101967799642218,1.43438333103661,1,1
13,102,1.20588235294118,1.56279918510115,1.10869565217391,1.28571428571429,0.0927601809954751,1.56279918510115,1,1
14,95,1.25263157894737,1.27969761265825,1.33333333333333,1.18,0.0963562753036437,1.27969761265825,1,1
15,84,1.29761904761905,1.61155288355682,1.17307692307692,1.5,0.0998168498168498,1.61155288355682,1,1
16,90,1.45555555555556,1.50774115674916,1.46296296296296,1.44444444444444,0.111965811965812,1.50774115674916,1,1
17,96,1.70833333333333,1.64743287806189,1.61538461538462,1.81818181818182,0.131410256410256,1.64743287806189,1,1
18,97,1.39175257731959,1.43292170226115,1.54901960784314,1.21739130434783,0.107057890563045,1.43292170226115,1,1
19,90,1.25555555555556,1.41866459688396,1.54545454545455,1.08771929824561,0.0965811965811966,1.41866459688396,1,1
