year,popsize,propmig,He,Ho,meanRRS,nadults,k,nSNP,nMicro,maxage,broodsize,maturity,years,r0,ratemort,V17
1,952,0.00315126050420168,0.430659745515853,0.33140756302521,NA,612,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
2,912,0.00767543859649123,0.432890769275162,0.330263157894737,NA,903,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
3,876,0.00799086757990868,0.43460930495611,0.330707762557078,NA,865,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
4,848,0.0129716981132075,0.435806781772873,0.326179245283019,NA,830,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
5,821,0.0158343483556638,0.436584050525116,0.328501827040195,NA,806,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
6,799,0.0225281602002503,0.439005969602178,0.330037546933667,NA,781,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
7,760,0.0210526315789474,0.441451004155125,0.332894736842105,NA,741,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
8,668,0.0269461077844311,0.442327059951952,0.327994011976048,NA,644,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
9,398,0.0376884422110553,0.434707141233807,0.316331658291457,NA,374,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
10,162,0.0987654320987654,0.312955342173449,0.272839506172839,NA,147,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
11,168,0.0952380952380952,0.302776006235828,0.266071428571429,NA,154,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
12,171,0.0818713450292398,0.291334085701583,0.249122807017544,NA,157,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
13,164,0.0609756097560976,0.289953896490184,0.26219512195122,NA,152,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
14,163,0.0736196319018405,0.282372313598555,0.242331288343558,NA,150,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
15,157,0.0700636942675159,0.251888514747049,0.212738853503185,NA,143,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
16,148,0.0608108108108108,0.222192293644996,0.190540540540541,NA,136,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
17,140,0.0857142857142857,0.241783163265306,0.189285714285714,NA,127,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
18,131,0.114503816793893,0.258807761785444,0.20763358778626,NA,119,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
19,128,0.1171875,0.246768188476563,0.20546875,NA,116,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
20,126,0.150793650793651,0.277340010078105,0.223015873015873,NA,117,1000,10,100,9,2,1,100,0.1,0.0555555555555556,1
