year,popsize,propmig,He,Ho,meanRRS,nadults,k,allele,nSNP,nMicro,sex,maxage,broodsize,sexratio,maturity,years,r0,ratemort,plotit,V21
1,950,0.00210526315789474,0.465775789473684,0.353789473684211,NA,598,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
2,910,0.00549450549450549,0.466135672020287,0.353956043956044,NA,901,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
3,876,0.00799086757990868,0.466487354308709,0.355022831050228,NA,865,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
4,845,0.00946745562130178,0.467768075347502,0.358816568047337,NA,831,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
5,816,0.00980392156862745,0.468158205377739,0.362622549019608,NA,800,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
6,795,0.0163522012578616,0.469678098176496,0.365786163522013,NA,777,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
7,756,0.0158730158730159,0.474203374765544,0.367724867724868,NA,735,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
8,649,0.0215716486902928,0.479662441447195,0.370107858243451,NA,622,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
9,419,0.035799522673031,0.487630794994332,0.388782816229117,NA,394,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
10,162,0.0987654320987654,0.485808184727938,0.443827160493827,NA,149,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
11,169,0.100591715976331,0.479170897377543,0.42603550295858,NA,155,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
12,174,0.0919540229885057,0.473237878187343,0.427011494252874,NA,160,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
13,172,0.0755813953488372,0.466934829637642,0.427906976744186,NA,156,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
14,169,0.0650887573964497,0.461261860579111,0.43905325443787,NA,155,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
15,166,0.0783132530120482,0.46036253447525,0.423493975903614,NA,153,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
16,158,0.069620253164557,0.45699607434706,0.424683544303797,NA,144,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
17,143,0.0699300699300699,0.4608293804098,0.453146853146853,NA,131,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
18,132,0.0984848484848485,0.441879017447199,0.439393939393939,NA,120,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
19,133,0.112781954887218,0.446927469048561,0.451127819548872,NA,121,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
20,131,0.129770992366412,0.443441524386691,0.448854961832061,NA,121,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
21,128,0.140625,0.450390625,0.4484375,NA,117,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
22,121,0.140495867768595,0.431869407827334,0.428099173553719,NA,111,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
23,117,0.145299145299145,0.41232741617357,0.382051282051282,NA,107,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
24,108,0.0925925925925926,0.370786179698217,0.356481481481482,NA,96,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
25,108,0.12962962962963,0.393398491083676,0.37962962962963,NA,98,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
26,105,0.123809523809524,0.375909297052154,0.340952380952381,NA,96,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
27,104,0.125,0.379095784023669,0.342307692307692,NA,94,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
28,99,0.131313131313131,0.370288746046322,0.319191919191919,NA,91,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
29,99,0.151515151515152,0.385088256300378,0.33030303030303,NA,91,1000,0,10,100,0,9,0,0.5,1,100,0.1,0.0555555555555556,1,1
