year,popsize,propmig,He,Ho,meanRRS,k,allele,nSNP,nMicro,sex,maxage,broodsize,sexratio,maturity,years,r0,ratemort
1,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
2,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
3,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
4,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
5,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
6,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
7,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
8,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
9,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
10,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
11,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
12,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
13,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
14,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
15,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
16,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
17,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
18,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
19,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
20,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
21,63,0.761904761904762,0.472915091962711,0.488888888888889,NA,1000,0,10,100,1,9,0,0.5,1,100,0.1,0.0555555555555556
