year,dead_a,dead_b,dead_c,dead_d
0,15759,751,386,126
1,357,43,5,4
2,1653,145,40,30
3,2289,223,60,23
4,2745,264,72,50
5,2986,302,88,36
6,3004,279,96,33
7,3010,291,89,34
8,2999,289,79,30
9,3012,262,80,42
10,2977,284,97,48
11,2957,271,89,52
12,2998,288,79,42
13,2973,292,89,42
14,3026,280,75,32
15,2954,283,103,49
16,2952,271,86,37
17,2977,285,91,37
18,2986,295,80,39
19,2967,290,87,37
20,3042,300,119,42
21,3163,305,87,46
22,3320,272,104,47
23,3222,289,89,41
24,3061,279,91,43
25,3109,271,92,43
26,2762,266,97,45
27,2955,310,96,46
28,2984,287,104,32
29,3002,268,91,37
30,2937,277,91,50
31,2982,295,79,51
32,2962,277,98,56
33,2959,288,89,40
34,2934,292,106,24
35,2935,296,71,40
36,2945,303,96,53
37,3025,287,91,33
38,2957,268,113,34
39,2901,317,66,50
40,2951,278,100,45
41,2965,298,97,37
42,2974,319,93,36
43,2932,288,97,38
44,2980,312,94,41
45,3040,268,90,45
46,3175,280,81,46
47,3246,275,91,45
48,3250,287,91,55
49,2982,306,111,51
50,3025,305,92,44
51,2783,251,85,44
52,2960,313,100,46
53,3040,287,85,44
54,2944,296,82,41
55,2990,296,77,44
56,3004,311,78,38
57,2957,267,104,45
58,2976,295,91,41
59,2997,293,77,32
60,2958,303,84,47
61,2919,323,85,46
62,3024,259,100,42
63,2909,302,78,43
64,2956,312,98,47
65,2949,297,79,50
66,2942,297,93,49
67,2959,321,105,50
68,2953,300,93,42
69,2996,273,109,54
70,3053,273,84,43
71,3162,285,108,41
72,3260,279,99,40
73,3287,288,95,42
74,3014,297,98,56
75,3001,331,92,50
76,2821,268,86,35
77,2974,296,60,40
78,3005,272,93,39
79,3013,282,77,37
80,2996,311,79,34
81,3016,275,96,40
82,2920,301,94,44
83,2962,315,93,27
84,2978,289,84,38
85,2931,313,80,49
86,3014,271,98,43
87,2984,294,90,37
88,2965,292,91,44
89,2961,318,81,51
90,2961,292,88,49
91,2915,304,92,38
92,2952,321,72,36
93,2995,301,90,31
94,2985,326,85,49
95,3022,274,104,59
96,3157,288,88,48
97,3302,298,92,41
98,3302,307,95,35
99,3106,277,109,38
100,2758,250,88,40
101,2143,214,65,25
102,2227,196,64,36
103,2012,217,61,24
104,1896,185,56,25
105,1634,128,46,16
106,1399,116,38,18
107,1151,86,41,18
108,923,85,26,11
109,718,62,26,6
110,450,41,15,6
111,513,30,10,3
112,494,38,17,8
113,433,41,16,4
114,439,38,12,7
115,461,35,12,3
116,427,35,8,3
117,386,50,9,2
118,382,43,12,1
119,397,28,8,11
120,389,37,18,7
121,378,34,10,8
122,409,37,11,3
123,399,42,7,2
124,352,31,15,6
125,340,40,10,6
126,355,36,9,11
127,335,47,16,4
128,349,49,10,4
129,325,34,7,3
130,325,36,10,7
131,334,43,11,4
132,338,32,7,3
133,318,32,11,7
134,334,29,5,6
135,309,36,7,4
136,325,44,9,6
137,299,36,7,4
138,317,38,6,1
139,318,35,9,1
140,297,32,12,10
141,306,28,10,9
142,315,42,11,2
143,302,35,7,10
144,307,28,9,6
145,314,27,9,4
146,313,31,10,2
147,339,30,9,7
148,339,31,13,7
149,289,29,4,3
150,249,38,8,5
151,515,85,17,6
152,607,92,27,8
153,776,122,25,11
154,994,142,34,17
155,1302,155,31,12
156,1640,244,61,26
157,1965,273,68,24
158,2200,318,68,36
159,2589,352,69,35
160,2855,396,97,48
161,2885,405,94,40
162,2919,383,92,48
163,2935,376,93,45
164,2911,381,97,34
165,2936,378,97,32
166,2919,342,108,36
167,2904,335,85,53
168,2951,356,84,41
169,2877,424,85,36
170,2979,362,97,47
