Inbreeding_Coefficient,MeanLRS_Column3
0,0.692567568
0.000165573,0.882352941
-0.00049628,1.177777778
0.000150273,1.120300752
-0.000202782,1.270588235
-0.000700938,1.265536723
-0.001441175,1.242937853
-0.00089215,1.279569892
-0.000843478,1.196428571
-0.000882261,1.292397661
-0.000947483,1.291208791
-0.000681863,1.043478261
-6.50E-08,1.229813665
0.000198421,1.145251397
-0.00018853,1.15
-0.000479624,1.438596491
-0.000474386,1.344632768
-0.000695671,1.088235294
-0.001243405,1.315789474
-0.000460979,1.440860215
-0.001095833,1.287234043
6.90E-05,1.404494382
-0.000511161,1.319796954
-0.000759257,1.265625
-4.24E-05,1.323699422
-0.00077513,1.225274725
-0.000728759,1.289017341
-0.00119565,1.180232558
-0.001901272,1.305084746
-0.00088432,1.142857143
-0.001025748,1.3
-0.000685544,1.157303371
-2.16E-05,1.423728814
0.001285061,1.106741573
0.001139122,1.083333333
0.000946299,1.173652695
0.001110991,1.211764706
0.000669861,1.161676647
0.00043955,1.098360656
3.65E-05,1.076923077
-0.000526524,1.35326087
-3.42E-05,1.247311828
0.00030389,1.263157895
9.06E-05,1.365168539
-0.000725793,1.308900524
-0.001042098,1.551351351
-0.001332264,1.444444444
-0.00150776,1.481283422
-0.001808294,1.43627451
-0.001326365,1.251308901
-0.00022818,1.263736264
-0.000545662,1.248554913
-0.000406528,1.288135593
-0.000446997,1.281767956
-0.000708975,1.342105263
-0.000785064,1.210526316
-0.000429853,1.143712575
-0.000342853,1.131736527
-0.000445861,1.136363636
-0.000331795,1.195266272
-0.001554515,1.338888889
-0.00094002,1.265536723
-0.001060074,1.32972973
-0.000360858,1.100558659
-0.001092715,1.131428571
-0.000154422,1.299465241
0.000254924,1.142045455
-0.000216669,1.392265193
-0.000232644,1.189655172
0.000198373,1.308108108
0.000451208,1.435233161
0.000387047,1.435483871
0.000847625,1.54040404
0.001005039,1.35078534
0.000559904,1.139664804
0.000108333,1.120879121
0.000409267,1.325153374
0.000434941,1.288135593
0.000423012,1.382022472
-0.000306734,1.349462366
-0.001076049,1.271276596
-0.001970135,1.176470588
-0.001696424,1.197802198
-0.000927816,1.28
-0.000991579,1.382857143
-0.001709359,1.295454545
-0.001046621,1.186813187
-0.000557908,1.211111111
0.000450116,1.348314607
0.00075528,1.365079365
-0.000601742,1.244565217
-0.001141151,1.231638418
-0.000862863,1.18579235
-0.000674601,1.480225989
0.00055056,1.383333333
0.000963733,1.258064516
-0.000334637,1.43718593
-0.001419678,1.452736318
-0.00180105,1.430769231
-0.001296937,1.079787234
-0.001235369,0.988095238
-0.000522931,1.074626866
3.98E-05,1.166666667
-3.61E-05,1.075630252
-0.000366713,0.824561404
-0.000181164,1.076923077
-0.001308935,1.010638298
-0.001171969,0.813333333
-0.000785765,0.769230769
-0.000341251,1.090909091
-0.000202854,0.967741935
-0.000516059,0.862068966
-0.000788555,1.225806452
-0.000404956,0.923076923
-0.000598847,1.5
-0.000896381,1
-0.000691806,1.185185185
-0.000465691,1.391304348
-0.000121276,1.55
-0.000614753,0.925925926
-0.000252597,1.47826087
-0.000238283,1.37037037
-0.000262449,1.961538462
-0.000535932,1.458333333
