year,VU_0,VU_a,VU_b,VU_c,NA,NA
0,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA,NA
58,NA,NA,NA,NA,NA,NA
59,NA,NA,NA,NA,NA,NA
60,NA,NA,NA,NA,NA,NA
61,NA,NA,NA,NA,NA,NA
62,NA,NA,NA,NA,NA,NA
63,NA,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,NA
65,NA,NA,NA,NA,NA,NA
66,NA,NA,NA,NA,NA,NA
67,NA,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,NA,NA
69,NA,NA,NA,NA,NA,NA
70,NA,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA,NA
72,NA,NA,NA,NA,NA,NA
73,NA,NA,NA,NA,NA,NA
74,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA
76,NA,NA,NA,NA,NA,NA
77,NA,NA,NA,NA,NA,NA
78,NA,NA,NA,NA,NA,NA
79,NA,NA,NA,NA,NA,NA
80,NA,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,NA
82,NA,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA,NA
89,NA,NA,NA,NA,NA,NA
90,NA,NA,NA,NA,NA,NA
91,NA,NA,NA,NA,NA,NA
92,NA,NA,NA,NA,NA,NA
93,NA,NA,NA,NA,NA,NA
94,NA,NA,NA,NA,NA,NA
95,NA,NA,NA,NA,NA,NA
96,NA,NA,NA,NA,NA,NA
97,NA,NA,NA,NA,NA,NA
98,1,1,1,1,NA,NA
99,1.00198784136972,1.0019261611478,1.00174229435446,1.00176391697747,NA,NA
100,1.00369755664451,1.00389800439518,1.00386647101333,1.00334907731196,NA,NA
101,1.0049685447073,1.00578915909147,1.00554130042867,1.00473460200371,NA,NA
102,1.00680135147893,1.00791004023475,1.00731965771622,1.00656725682201,NA,NA
103,1.00857518202268,1.00997898305762,1.00933540827014,1.00836692797116,NA,NA
104,1.00998659011407,1.0115493190907,1.01101907689834,1.01040163574491,NA,NA
105,1.01154781762264,1.0136586076999,1.01231064361636,1.01181969779279,NA,NA
106,1.01304238679161,1.0157202289223,1.01409259006513,1.01366593158986,NA,NA
107,1.01407543611337,1.01784409149962,1.01540625344372,1.01527886902397,NA,NA
108,1.01563028857747,1.02010972344648,1.01700597595866,1.01661276979439,NA,NA
109,1.01751433442563,1.02199102343564,1.01889926181623,1.01830694537516,NA,NA
