year,CR,EN,VU
0,NA,NA,NA
1,NA,NA,NA
2,NA,NA,NA
3,NA,NA,NA
4,NA,NA,NA
5,NA,NA,NA
6,NA,NA,NA
7,NA,NA,NA
8,NA,NA,NA
9,NA,NA,NA
10,NA,NA,NA
11,NA,NA,NA
12,NA,NA,NA
13,NA,NA,NA
14,NA,NA,NA
15,NA,NA,NA
16,NA,NA,NA
17,NA,NA,NA
18,NA,NA,NA
19,NA,NA,NA
20,NA,NA,NA
21,NA,NA,NA
22,NA,NA,NA
23,NA,NA,NA
24,NA,NA,NA
25,NA,NA,NA
26,NA,NA,NA
27,NA,NA,NA
28,NA,NA,NA
29,NA,NA,NA
30,NA,NA,NA
31,NA,NA,NA
32,NA,NA,NA
33,NA,NA,NA
34,NA,NA,NA
35,NA,NA,NA
36,NA,NA,NA
37,NA,NA,NA
38,NA,NA,NA
39,NA,NA,NA
40,NA,NA,NA
41,NA,NA,NA
42,NA,NA,NA
43,NA,NA,NA
44,NA,NA,NA
45,NA,NA,NA
46,NA,NA,NA
47,NA,NA,NA
48,NA,NA,NA
49,NA,NA,NA
50,NA,NA,NA
51,NA,NA,NA
52,NA,NA,NA
53,NA,NA,NA
54,NA,NA,NA
55,NA,NA,NA
56,NA,NA,NA
57,NA,NA,NA
58,NA,NA,NA
59,NA,NA,NA
60,NA,NA,NA
61,NA,NA,NA
62,NA,NA,NA
63,NA,NA,NA
64,NA,NA,NA
65,NA,NA,NA
66,NA,NA,NA
67,NA,NA,NA
68,NA,NA,NA
69,NA,NA,NA
70,NA,NA,NA
71,NA,NA,NA
72,NA,NA,NA
73,NA,NA,NA
74,NA,NA,NA
75,NA,NA,NA
76,NA,NA,NA
77,NA,NA,NA
78,NA,NA,NA
79,NA,NA,NA
80,NA,NA,NA
81,NA,NA,NA
82,NA,NA,NA
83,NA,NA,NA
84,NA,NA,NA
85,NA,NA,NA
86,NA,NA,NA
87,NA,NA,NA
88,NA,NA,NA
89,NA,NA,NA
90,NA,NA,NA
91,NA,NA,NA
92,NA,NA,NA
93,NA,NA,NA
94,NA,NA,NA
95,NA,NA,NA
96,NA,NA,NA
97,NA,NA,NA
98,1,1,1
99,1.0021644604778,1.00198381142812,1.0019261611478
100,1.0040844978681,1.00369712052003,1.00389800439518
101,1.0057993174106,1.0056078489561,1.00578915909147
102,1.00837964277081,1.0081202397697,1.00791004023475
103,1.01097908486345,1.01035540652731,1.00997898305762
104,1.01304204146631,1.01229860108531,1.0115493190907
105,1.01560982860878,1.01389999617284,1.0136586076999
106,1.01829352556187,1.01607772322627,1.0157202289223
107,1.02058763276963,1.01833255398525,1.01784409149962
108,1.0222546970631,1.02108834319279,1.02010972344648
109,1.02297459448329,1.02319695278063,1.02199102343564
110,1.02585366130098,1.02518593898059,1.02359143690261
111,1.03100356595223,1.02789057493682,1.02526699530308
112,1.03151583473932,1.02956168524717,1.02723629734256
113,1.02959675416743,1.03127809718421,1.02935729728952
114,1.02172647539864,1.03322776104051,1.0314124258223
115,1.01163611950208,1.03468645986443,1.03284091681581
116,1.00150712032551,1.03498438524509,1.03448760070806
117,0.994284273593937,1.03516740682632,1.03604973214854
118,0.987042443775759,1.03560611697234,1.03752876844208
119,0.978186816185439,1.03446085990432,1.03913823555613
120,0.968517930293039,1.03391847989895,1.04048417186536
121,0.95614753918474,1.03408538563684,1.0414869876543
122,0.947999920221138,1.03391568106508,1.04314149564329
123,0.937577672404377,1.03327265389707,1.044372449159
124,0.930069931558662,1.03296942722676,1.04534048804636
125,0.920451276205704,1.03161615196411,1.0460331551274
126,0.910787050205703,1.03072506077242,1.04665343117343
127,0.901745376558954,1.02890619554753,1.04814050710067
128,0.893141343974058,1.02644710883203,1.04939479746249
129,0.881604992438064,1.02443398545369,1.05031890048499
130,0.874062446387868,1.02227623580083,1.05119184443948
131,0.86424399721353,1.02087973132075,1.05235777196085
132,0.85594946667439,1.01901773365315,1.05318894956441
133,0.849073954909541,1.01711279853997,1.05363043362988
134,0.841737788892306,1.01555132407974,1.0545360085751
