year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,deltaK,propMigSNPs,Ho_allSNPs,project,group,k,nSNP,miggy,LBhet,LBp,maxage,broodsize,maturity,years,r0,nSNP.mig,nSNP.cons
0,1000,0,0.162092776818182,0.178307,0,271,0.488,0,0,1,1,0,0.368067066368591,-3.19150807548905e-05,1000,0,0.162097272727273,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
1,891,0,0.16202988403002,0.178092847668605,0.000151013018680497,517,0.488215488215488,0,-0.000488595144084681,1,1,15,0.368167804480203,NA,1000,0,0.162154882154882,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
2,807,0,0.162195602045245,0.175898727047426,0.000355407327122434,691,0.496902106567534,0,-0.000414034343052626,1,1,116,0.368226237663674,NA,1000,0,0.162262025459051,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
3,749,0,0.161664282400404,0.171855322247846,0.000755893773667363,576,0.467289719626168,0,-0.000274668225877757,1,1,173,0.36842842752632,NA,1000,0,0.161588785046729,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
4,718,0,0.161371849542672,0.167679792352494,-3.39634773202672e-05,508,0.473537604456825,0,-6.90876680837822e-05,1,1,210,0.368589223357186,NA,1000,0,0.161604203595847,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
5,682,0,0.161123744323117,0.164395894428153,-0.000230421659017581,460,0.472140762463343,0,0.000174693618716609,1,1,222,0.368740265087634,NA,1000,0,0.161446280991736,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
6,678,0,0.161221797820004,0.1624835076428,-0.000534960410950672,440,0.501474926253687,0,0.000420022481588707,1,1,238,0.368850797101923,NA,1000,0,0.161668007508715,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
7,713,0,0.161062377024277,0.161531301797781,-0.000160161969805303,471,0.506311360448808,0,0.000677205887407729,1,1,242,0.369020189952834,NA,1000,0,0.161345148540099,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
8,713,0,0.160847856755446,0.161319648093842,-0.000647503535402958,479,0.492286115007013,0,0.000906499674828477,1,1,234,0.369148387120916,NA,1000,0,0.161319648093842,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
9,722,0,0.160857661954991,0.161367413749685,-0.000757885721232339,491,0.479224376731302,0,0.00112971221781365,1,1,231,0.369240988015583,NA,1000,0,0.161367413749685,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
10,736,0,0.16083518162485,0.161304347826087,-0.000670843029947058,504,0.504076086956522,0,0.00135153537444872,1,1,232,0.36926280117451,NA,1000,0,0.161304347826087,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
11,739,0,0.160530158068533,0.160926313199656,-0.000483509596717727,514,0.518267929634641,0,0.00147594104765729,1,1,225,0.369279627444636,NA,1000,0,0.160926313199656,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
12,718,0,0.160633176587846,0.161004051658648,-0.00039364336149462,490,0.533426183844011,0,0.00172244794661348,1,1,228,0.369401358106405,NA,1000,0,0.161004051658648,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
13,705,0,0.160470840592434,0.160679561573179,3.58712575881295e-05,468,0.530496453900709,0,0.00203771154943854,1,1,237,0.369589997952078,NA,1000,0,0.160679561573179,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
14,721,0,0.160609066478544,0.161247005421763,-0.00108993857088917,485,0.499306518723994,0,0.00232471275812821,1,1,236,0.369750246947496,NA,1000,0,0.161247005421763,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
15,711,0,0.160766608742628,0.161190384861271,-0.000521583901702007,476,0.50070323488045,0,0.00266192977536448,1,1,235,0.3698663208993,NA,1000,0,0.161190384861271,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
16,710,0,0.160665931182485,0.161151088348271,-0.000678443657557448,479,0.501408450704225,0,0.00302231882585807,1,1,231,0.370014654830859,NA,1000,0,0.161151088348271,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
17,723,0,0.160423725556385,0.16035458317616,0.000744321050968951,484,0.499308437067773,0,0.00333319384195199,1,1,239,0.370208054012749,NA,1000,0,0.16035458317616,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
18,719,0,0.160341282998137,0.160440005057529,0.000309963311679449,491,0.51182197496523,0,0.00369170782999818,1,1,228,0.370364662647345,NA,1000,0,0.160440005057529,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
19,735,0,0.160503836364478,0.160993197278912,-0.000723635468476701,498,0.499319727891156,0,0.00408549443940164,1,1,237,0.370528473706934,NA,1000,0,0.160993197278912,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
20,717,0,0.160571447745429,0.160959807277799,-0.000437908855262002,483,0.496513249651325,0,0.00456346624516967,1,1,234,0.370697943550677,NA,1000,0,0.160959807277799,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
21,722,0,0.160877971944799,0.161362377234953,-0.000692045466133617,488,0.493074792243767,0,0.00475936151987308,1,1,234,0.370692794102938,NA,1000,0,0.161362377234953,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
22,723,0,0.160930806489509,0.161296366151138,-0.000384622723676909,489,0.491009681881051,0,0.0050370732237066,1,1,234,0.370844532234527,NA,1000,0,0.161296366151138,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
23,719,0,0.160935952439528,0.161264382349222,-0.000284134063234824,486,0.49095966620306,0,0.00517855304353991,1,1,233,0.37091853311483,NA,1000,0,0.161264382349222,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
24,721,0,0.161116241662005,0.161646702811751,-0.000809253453282155,489,0.509015256588072,0,0.00541017564591925,1,1,232,0.371004814949911,NA,1000,0,0.161646702811751,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
25,723,0,0.161118089348922,0.161628316358607,-0.000759608190392836,488,0.525587828492393,0,0.00571866009926746,1,1,235,0.371155589424774,NA,1000,0,0.161628316358607,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
26,725,0,0.161351432709977,0.161721630094044,-0.000397796312516672,511,0.532413793103448,0,0.00604262211904139,1,1,214,0.371305793930666,NA,1000,0,0.161721630094044,end_10.2.23_LL10,04,1000,1000,0,0.05,0.05,9,2,1,350,1,100,0
