year,popsize,propmig,He,Ho,Fis,nadults,sxratio,nmig,Fst,replicate,parameterset,numboff,FstVSource,FisVSource,deltaK,propMigSNPs,Ho_allSNPs,project,group,k,nSNP,miggy,LBhet,LBp,maxage,broodsize,maturity,years,r0,nSNP.mig,nSNP.cons
0,1000,0,0.162482231363636,0.178723,0,248,0.531,0,0,1,1,0,0.362113022085588,-1.26685414245321e-05,1000,0,0.162475454545455,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
1,893,0,0.162523688890221,0.178273236282195,0.000373312534022811,500,0.529675251959686,0,-0.000477705839650919,1,1,31,0.362097070447169,NA,1000,0,0.162584750076351,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
2,812,0,0.162607328441051,0.176124048365428,1.6085096877642e-05,691,0.539408866995074,0,-0.00037816515569161,1,1,121,0.362111198237907,NA,1000,0,0.162810120913569,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
3,760,0,0.162588766998237,0.172936004784689,-0.000150811723230754,589,0.532894736842105,0,-0.000221392435172046,1,1,171,0.362169505870589,NA,1000,0,0.162868421052632,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
4,700,0,0.162767127087199,0.168892467532468,0.000414742699333356,492,0.542857142857143,0,4.77757106716645e-05,1,1,208,0.362251151825458,NA,1000,0,0.162845454545455,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
5,690,0,0.162698420881786,0.165644268774704,-0.000196912637184577,458,0.539130434782609,0,0.000338870411767445,1,1,232,0.362420252193003,NA,1000,0,0.163022397891963,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
6,705,0,0.162742498776813,0.164165699548678,-0.000858485205191622,468,0.513475177304965,0,0.000620907754464541,1,1,237,0.362553122399226,NA,1000,0,0.163320438426821,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
7,713,0,0.162746637687478,0.163245951804157,-0.00020041478451586,475,0.49929873772791,0,0.000910341986371834,1,1,238,0.362683704453988,NA,1000,0,0.163062603595563,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
8,723,0,0.162422051127135,0.162969696969697,-0.000641373510616742,486,0.500691562932227,0,0.00121190925120505,1,1,237,0.362935066111325,NA,1000,0,0.162904564315353,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
9,717,0,0.162413603127439,0.162600481805503,0.000126672303218904,484,0.485355648535565,0,0.00151778234084679,1,1,233,0.363074974558089,NA,1000,0,0.162600481805503,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
10,724,0,0.162546413106216,0.162949522852838,-0.000437138270780359,487,0.501381215469613,0,0.00192544145485764,1,1,237,0.36324644816587,NA,1000,0,0.162949522852838,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
11,738,0,0.162715083781165,0.163080808080808,-0.000355503056069662,509,0.489159891598916,0,0.00225816833171355,1,1,229,0.363366838192457,NA,1000,0,0.163080808080808,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
12,715,0,0.162736759743753,0.163458359821996,-0.00124259656313804,489,0.495104895104895,0,0.00238676397552606,1,1,226,0.363380261960911,NA,1000,0,0.163458359821996,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
13,700,0,0.162152957328386,0.162877922077922,-0.00122561513681951,462,0.471428571428571,0,0.00267641739130095,1,1,238,0.363557142290545,NA,1000,0,0.162877922077922,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
14,712,0,0.161918120237057,0.162537027579162,-0.000977589471170227,474,0.469101123595506,0,0.002923054049728,1,1,238,0.363710016531011,NA,1000,0,0.162537027579162,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
15,717,0,0.162106321703405,0.162600481805503,-0.000664183639416232,484,0.472803347280335,0,0.00321081594855498,1,1,233,0.363797652658366,NA,1000,0,0.162600481805503,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
16,703,0,0.161687535950469,0.162177680072417,-0.000635691045527876,468,0.47226173541963,0,0.00352918668912407,1,1,235,0.364032106953051,NA,1000,0,0.162177680072417,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
17,695,0,0.161903723221554,0.162128188358404,4.7687639511117e-05,454,0.492086330935252,0,0.00382284793526902,1,1,241,0.364124955469127,NA,1000,0,0.162128188358404,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
18,719,0,0.161775991190473,0.16193450499431,0.000197585398090913,477,0.49095966620306,0,0.00413092156039806,1,1,242,0.364300824013739,NA,1000,0,0.16193450499431,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
19,727,0,0.162127269527999,0.162786044766788,-0.00110478901015479,500,0.492434662998624,0,0.0043332058567911,1,1,227,0.364250215609776,NA,1000,0,0.162786044766788,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
20,744,0,0.162035747531244,0.162765151515152,-0.00131967025407771,520,0.498655913978495,0,0.00461456739880836,1,1,224,0.364425796349062,NA,1000,0,0.162765151515152,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
21,731,0,0.161811671068129,0.16205695808979,-3.64544383364968e-05,509,0.497948016415869,0,0.00493855221769606,1,1,222,0.364542564042806,NA,1000,0,0.16205695808979,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
22,721,0,0.161719852801145,0.162085487328206,-0.000338927354694208,491,0.513176144244105,0,0.00511044115056572,1,1,230,0.364618134161958,NA,1000,0,0.162085487328206,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
23,718,0,0.162185260222432,0.16247277791846,-0.000133395685399132,484,0.502785515320334,0,0.00538660556624931,1,1,234,0.364614929349978,NA,1000,0,0.16247277791846,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
24,733,0,0.162326577587582,0.162527595187895,7.79524588338528e-05,497,0.519781718963165,0,0.00563387575533153,1,1,236,0.364689594105187,NA,1000,0,0.162527595187895,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
25,725,0,0.162160888120203,0.162403761755486,-2.45143882350662e-05,496,0.500689655172414,0,0.00583621090774738,1,1,229,0.364766217599103,NA,1000,0,0.162403761755486,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
26,723,0,0.162172428473715,0.162593989689425,-0.000484624840351791,511,0.495159059474412,0,0.00592189937665019,1,1,212,0.364788523428137,NA,1000,0,0.162593989689425,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
27,716,0,0.16187604003819,0.162431437277806,-0.00082103385221477,483,0.476256983240223,0,0.00617805814754608,1,1,233,0.364876714818975,NA,1000,0,0.162431437277806,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
28,726,0,0.162165109533971,0.162637114951165,-0.00061901338174849,497,0.488980716253444,0,0.00634078565537179,1,1,229,0.364885063401687,NA,1000,0,0.162637114951165,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
29,706,0,0.161987132112885,0.162098892608808,0.000325981665086815,475,0.490084985835694,0,0.00656866889920145,1,1,231,0.365007785446772,NA,1000,0,0.162098892608808,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
30,718,0,0.161881820509547,0.162170169663206,-0.000136097168843732,483,0.50974930362117,0,0.00697907515146234,1,1,235,0.365188225847807,NA,1000,0,0.162170169663206,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
31,705,0,0.161635621950606,0.16198968407479,-0.000291604193832071,475,0.507801418439716,0,0.00718681268341894,1,1,230,0.36533677681297,NA,1000,0,0.16198968407479,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
32,730,0,0.161424832392228,0.16193897882939,-0.000736368216727777,495,0.486301369863014,0,0.0077030178873711,1,1,235,0.365640790175313,NA,1000,0,0.16193897882939,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
33,743,0,0.161337707341196,0.16163220359721,-0.000176892130720964,518,0.516823687752355,0,0.00789076374132951,1,1,225,0.365725413043937,NA,1000,0,0.16163220359721,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
34,728,0,0.161020502505736,0.161431068931069,-0.000465331001177061,507,0.527472527472527,0,0.00812424280631404,1,1,221,0.365914069108956,NA,1000,0,0.161431068931069,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
35,699,0,0.160551411069564,0.161214722330602,-0.0010742145133762,468,0.520743919885551,0,0.0084910011367583,1,1,231,0.366131288009753,NA,1000,0,0.161214722330602,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
36,690,0,0.160438835424185,0.160862977602108,-0.000454408906465474,449,0.485507246376812,0,0.00874251790069132,1,1,241,0.366213241572944,NA,1000,0,0.160862977602108,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
37,695,0,0.160251143597875,0.160516677567037,-5.88135920418185e-05,455,0.467625899280576,0,0.00924924671045147,1,1,240,0.366396818424022,NA,1000,0,0.160516677567037,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
38,706,0,0.160411886562987,0.160878186968839,-0.000582850499389656,465,0.449008498583569,0,0.00965124134818033,1,1,241,0.36655183770534,NA,1000,0,0.160878186968839,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
39,739,0,0.160647248337073,0.160709804403986,0.00043507517189112,506,0.449255751014885,0,0.00996739043426978,1,1,233,0.366711464323776,NA,1000,0,0.160709804403986,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
40,743,0,0.160382453698527,0.160258167135691,0.000925989438459468,516,0.480484522207268,0,0.0101732605496019,1,1,227,0.366815079731041,NA,1000,0,0.160258167135691,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
41,717,0,0.15991398818634,0.159826296437175,0.00083407347916718,489,0.500697350069735,0,0.0105046797114593,1,1,228,0.367021949907867,NA,1000,0,0.159826296437175,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
42,729,0,0.159946298665498,0.159610924055369,0.00147902589851893,495,0.518518518518518,0,0.0107867856727185,1,1,234,0.367171876024032,NA,1000,0,0.159610924055369,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
43,732,0,0.160240240859278,0.160038499751614,0.00112974973194653,507,0.528688524590164,0,0.0111867815602778,1,1,225,0.367224834654148,NA,1000,0,0.160038499751614,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
44,705,0,0.160346724830926,0.160340425531915,0.000627568557776755,476,0.51063829787234,0,0.0114440312005955,1,1,229,0.367308828091152,NA,1000,0,0.160340425531915,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
45,716,0,0.160247968866594,0.160284408329101,0.000513420633959951,484,0.518156424581006,0,0.0117308328286837,1,1,232,0.367446889097552,NA,1000,0,0.160284408329101,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
46,709,0,0.159940384205345,0.15994230029491,0.000605120188909766,478,0.524682651622003,0,0.012019986096016,1,1,231,0.367626695489054,NA,1000,0,0.15994230029491,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
47,704,0,0.159558258629848,0.159528667355372,0.000687664615377803,466,0.507102272727273,0,0.0124813480416376,1,1,238,0.367796909006749,NA,1000,0,0.159528667355372,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
48,714,0,0.159651407800197,0.159582378405908,0.000786553030887698,479,0.511204481792717,0,0.0127902615659053,1,1,235,0.367860177154155,NA,1000,0,0.159582378405908,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
49,725,0,0.160179609555724,0.160423824451411,-3.11214938789693e-05,486,0.484137931034483,0,0.0133561903888704,1,1,239,0.367995371270295,NA,1000,0,0.160423824451411,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
50,713,0,0.159625433136524,0.160015300267755,-0.000397441433417832,482,0.488078541374474,0,0.0137365750283901,1,1,231,0.368221942695064,NA,1000,0,0.160015300267755,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
51,737,0,0.159591447262605,0.160048106574565,-0.000601327935146688,526,0.489823609226594,0,0.0139591667641918,1,1,211,0.368344902498029,NA,1000,0,0.160048106574565,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
52,710,0,0.159543154316424,0.159693982074264,0.000221373178290906,478,0.490140845070423,0,0.014151551247599,1,1,232,0.36834267181506,NA,1000,0,0.159693982074264,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
53,712,0,0.159421905844361,0.159628447395301,7.61726544730007e-05,478,0.474719101123595,0,0.0145040518628536,1,1,234,0.368478510619026,NA,1000,0,0.159628447395301,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
54,711,0,0.159132925149589,0.159680347781614,-0.00080274145606554,475,0.464135021097046,0,0.0147419750678961,1,1,236,0.368568884363331,NA,1000,0,0.159680347781614,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
55,697,0,0.159059177578019,0.159420894743707,-0.000307919893221182,461,0.494978479196557,0,0.0149689452369448,1,1,236,0.368659518402053,NA,1000,0,0.159420894743707,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
56,712,0,0.159660421520469,0.160071501532176,-0.000450858450091952,473,0.498595505617978,0,0.0153565130921489,1,1,239,0.368847660624367,NA,1000,0,0.160071501532176,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
57,725,0,0.159034270889634,0.159507210031348,-0.000629909922764195,491,0.508965517241379,0,0.0155495620679358,1,1,234,0.369033368675389,NA,1000,0,0.159507210031348,end_9.18.23_LL1b,04,1000,1000,b,0.05,0.05,9,2,1,350,1,100,0
