YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset
-1,45,0.688888889,1.10417024,0.590909091,0.782608696,0.040522876,1.10417024,1,1
0,453,0.735099338,1.091207743,0.711864407,0.760368664,0.043241138,1.091207743,1,1
1,4,0.25,0.5,0,0.333333333,0.014705882,0.5,1,1
2,47,1.319148936,1.889402746,0.931034483,1.944444444,0.077596996,1.889402746,1,1
3,68,1.132352941,1.524960599,0.909090909,1.342857143,0.066608997,1.524960599,1,1
4,83,1.325301205,1.570369179,1.367346939,1.264705882,0.077958894,1.570369179,1,1
5,72,1.347222222,1.584784361,1.628571429,1.081081081,0.079248366,1.584784361,1,1
6,94,1.457446809,1.53570336,1.244444444,1.653061224,0.085732165,1.53570336,1,1
7,89,1.08988764,1.542138785,0.977777778,1.204545455,0.064111038,1.542138785,1,1
8,91,1.087912088,1.338725361,0.979591837,1.214285714,0.063994829,1.338725361,1,1
9,89,1.348314607,1.365992177,1.28,1.435897436,0.079312624,1.365992177,1,1
10,84,1.380952381,1.260185126,1.638888889,1.1875,0.081232493,1.260185126,1,1
11,87,1.287356322,1.328647205,1.184210526,1.367346939,0.075726842,1.328647205,1,1
12,101,1.237623762,1.379481894,1.196428571,1.288888889,0.072801398,1.379481894,1,1
13,80,1.1625,1.427077655,1.142857143,1.184210526,0.068382353,1.427077655,1,1
14,84,1.357142857,1.332113613,1.4,1.326530612,0.079831933,1.332113613,1,1
15,97,1.422680412,1.573445341,1.4375,1.408163265,0.083687083,1.573445341,1,1
16,89,1.359550562,1.509418845,1.4,1.307692308,0.079973562,1.509418845,1,1
17,82,1.304878049,1.321138906,1.638888889,1.043478261,0.076757532,1.321138906,1,1
18,88,1.318181818,1.482041575,1.159090909,1.477272727,0.077540107,1.482041575,1,1
19,93,1.365591398,1.420233801,1.333333333,1.388888889,0.080328906,1.420233801,1,1
20,90,1.377777778,1.618556562,1.222222222,1.533333333,0.081045752,1.618556562,1,1
21,87,1.413793103,1.418742681,1.386363636,1.441860465,0.0831643,1.418742681,1,1
22,92,1.304347826,1.517220785,1.446428571,1.083333333,0.076726343,1.517220785,1,1
23,90,1.077777778,1.447413639,0.853658537,1.265306122,0.063398693,1.447413639,1,1
24,88,1.284090909,1.355693517,1.411764706,1.108108108,0.075534759,1.355693517,1,1
25,88,1.318181818,1.579651166,1.382978723,1.243902439,0.077540107,1.579651166,1,1
26,87,1.517241379,1.620092367,1.255319149,1.825,0.089249493,1.620092367,1,1
27,90,1.066666667,1.330709028,1.14,0.975,0.062745098,1.330709028,1,1
28,95,1.242105263,1.641974612,1.196428571,1.307692308,0.073065015,1.641974612,1,1
29,91,1.637362637,1.779615961,1.628571429,1.642857143,0.096315449,1.779615961,1,1
