YearBorn,nBornThisYear,meanLRS,SD,LRSfemale,LRSmale,meanRRS,SDRRS,replicate,parameterset
-1,47,0.659574468085106,1.14733331165342,0.782608695652174,0.541666666666667,0.0599613152804642,1.14733331165342,1,1
0,450,0.711111111111111,1.03442359324161,0.711711711711712,0.710526315789474,0.0646464646464646,1.03442359324161,1,1
1,7,0.428571428571429,0.786795792469443,0.2,1,0.038961038961039,0.786795792469443,1,1
2,51,1.43137254901961,1.50006535805323,1.69230769230769,1.16,0.130124777183601,1.50006535805323,1,1
3,65,1.30769230769231,1.53014579496405,1.35294117647059,1.25806451612903,0.118881118881119,1.53014579496405,1,1
4,79,1.62025316455696,1.52167078777509,1.61538461538462,1.625,0.147295742232451,1.52167078777509,1,1
5,90,1.44444444444444,1.49238600235494,1.59090909090909,1.30434782608696,0.131313131313131,1.49238600235494,1,1
6,95,1.4,1.70979655378035,1.44230769230769,1.34883720930233,0.127272727272727,1.70979655378035,1,1
7,94,1.24468085106383,1.39651001415292,1.0188679245283,1.53658536585366,0.113152804642166,1.39651001415292,1,1
8,83,1.13253012048193,1.12370341909318,1.47727272727273,0.743589743589744,0.102957283680175,1.12370341909318,1,1
9,94,1.5531914893617,1.74514393082107,1.33333333333333,1.73076923076923,0.141199226305609,1.74514393082107,1,1
10,95,1.41052631578947,1.66627841689136,1.46511627906977,1.36538461538462,0.12822966507177,1.66627841689136,1,1
11,93,1.27956989247312,1.37022365199079,1.30612244897959,1.25,0.116324535679374,1.37022365199079,1,1
12,93,1.34408602150538,1.5143848202568,1.35555555555556,1.33333333333333,0.122189638318671,1.5143848202568,1,1
13,87,1.28735632183908,1.29316670967059,1.14285714285714,1.47368421052632,0.117032392894462,1.29316670967059,1,1
14,81,1.35802469135802,1.35377843437644,1.3469387755102,1.375,0.123456790123457,1.35377843437644,1,1
15,88,1.26136363636364,1.55729147554718,1.02380952380952,1.47826086956522,0.114669421487603,1.55729147554718,1,1
16,79,1.31645569620253,1.79418079154683,0.977777777777778,1.76470588235294,0.119677790563867,1.79418079154683,1,1
17,95,1.4,1.63992734660035,1.38775510204082,1.41304347826087,0.127272727272727,1.63992734660035,1,1
18,93,1.27956989247312,1.46232090243297,1.36734693877551,1.18181818181818,0.116324535679374,1.46232090243297,1,1
19,93,1.27956989247312,1.56292362186363,1.29411764705882,1.26190476190476,0.116324535679374,1.56292362186363,1,1
20,90,1.3,1.41778431348021,1.3125,1.28571428571429,0.118181818181818,1.41778431348021,1,1
21,95,1.66315789473684,1.62173092657453,1.27272727272727,2,0.151196172248804,1.62173092657453,1,1
22,82,1.5,1.8206632897971,1.33333333333333,1.675,0.136363636363636,1.8206632897971,1,1
23,90,1.15555555555556,1.4908794713197,0.935483870967742,1.27118644067797,0.105050505050505,1.4908794713197,1,1
24,92,1.3695652173913,1.55991963236451,1.22727272727273,1.5,0.124505928853755,1.55991963236451,1,1
25,83,1.68674698795181,2.03582374316958,2.05128205128205,1.36363636363636,0.153340635268346,2.03582374316958,1,1
26,85,1.05882352941176,1.12707946625307,1.29787234042553,0.763157894736842,0.0962566844919786,1.12707946625307,1,1
27,97,1.43298969072165,1.38373902054396,1.44186046511628,1.42592592592593,0.130271790065604,1.38373902054396,1,1
28,95,1.44210526315789,1.56229365938785,1.62264150943396,1.21428571428571,0.1311004784689,1.56229365938785,1,1
29,95,1.13684210526316,1.31772310328524,1.125,1.14545454545455,0.103349282296651,1.31772310328524,1,1
30,83,1.06024096385542,1.33753867133847,1.19512195121951,0.928571428571429,0.0963855421686747,1.33753867133847,1,1
31,79,1.08860759493671,1.47795660581071,1.21428571428571,0.945945945945946,0.0989643268124281,1.47795660581071,1,1
32,86,1.31395348837209,1.45732735155006,1.54545454545455,1.07142857142857,0.119450317124736,1.45732735155006,1,1
33,84,1.38095238095238,1.49621821989993,1.28571428571429,1.44897959183673,0.125541125541126,1.49621821989993,1,1
34,91,1.36263736263736,1.38657438408061,1.24489795918367,1.5,0.123876123876124,1.38657438408061,1,1
35,89,1.23595505617978,1.35698924687667,1.16666666666667,1.31707317073171,0.112359550561798,1.35698924687667,1,1
36,91,1.36263736263736,1.55289323891806,1.52272727272727,1.21276595744681,0.123876123876124,1.55289323891806,1,1
37,90,1.43333333333333,1.76131972992164,1.46341463414634,1.40816326530612,0.13030303030303,1.76131972992164,1,1
38,86,1.32558139534884,1.53731515744068,1.3,1.36111111111111,0.120507399577167,1.53731515744068,1,1
39,91,1.20879120879121,1.35414165939153,1.38,1,0.10989010989011,1.35414165939153,1,1
40,87,1.18390804597701,1.18644216660651,1.17777777777778,1.19047619047619,0.107628004179728,1.18644216660651,1,1
